"Name","Address","Description","Latitude","Longitude","TimeStamp","TimeSpan:begin","TimeSpan:end","GettyID",""
"Prof. Dr. Angelica Rieger","Aachen","Prof. Dr. Angelica Rieger","50.7667","6.1","","","","7004799",""
"Lidia Molina","Aachen","Lidia Molina","50.7667","6.1","","","","7004799",""
"Dr. Frank Jablonka","Amiens","Dr. Frank Jablonka","49.9","2.3","","","","7010588",""
"Prof. Dr. Steven  Dworkin","Ann Arbor","Prof. Dr. Steven  Dworkin","42.2833","-83.7333","","","","7013304",""
"Prof. Dr. Rita  De Maeseneer","Antwerp","Prof. Dr. Rita  De Maeseneer","51.2167","4.4167","","","","7007856",""
"Simone Baum","Augsburg","Simone Baum","48.35","10.9","","","","7004324",""
"PD Dr. Thomas Stauder","Augsburg","PD Dr. Thomas Stauder","48.35","10.9","","","","7004324",""
"Prof. Dr. Hanno Ehrlicher","Augsburg","Prof. Dr. Hanno Ehrlicher","48.35","10.9","","","","7004324",""
"Dr. Nanette Rißler-Pipka","Augsburg","Dr. Nanette Rißler-Pipka","48.35","10.9","","","","7004324",""
"María del Carmen Luis Gironés","Bad Hersfeld","María del Carmen Luis Gironés","50.8833","9.7167","","","","7012967",""
"Prof. Dr. Enrique Rodrigues-Moura","Bamberg","Prof. Dr. Enrique Rodrigues-Moura","49.9","10.9","","","","7004325",""
"Prof. Dr. Christine Michler","Bamberg","Prof. Dr. Christine Michler","49.9","10.9","","","","7004325",""
"Prof. Dr. Dina De Rentiis","Bamberg","Prof. Dr. Dina De Rentiis","49.9","10.9","","","","7004325",""
"PD Dr. Philipp Burdy","Bamberg","PD Dr. Philipp Burdy","49.9","10.9","","","","7004325",""
"Prof. Dr. Martin Haase","Bamberg","Prof. Dr. Martin Haase","49.9","10.9","","","","7004325",""
"Hanna Budig","Bamberg","Hanna Budig","49.9","10.9","","","","7004325",""
"Jenny Brumme","Barcelona","Jenny Brumme","41.4167","2.1667","","","","7007426",""
"PD Dr. Giovanna D'Aniello","Bari","PD Dr. Giovanna D'Aniello","41.1167","16.8667","","","","7004101",""
"Rocío Agar Marco","Basel","Rocío Agar Marco","47.55","7.6","","","","7007269",""
"Dr. Florence Oloff","Basel","Dr. Florence Oloff","47.55","7.6","","","","7007269",""
"Prof. Dr. Harm den Boer","Basel","Prof. Dr. Harm den Boer","47.55","7.6","","","","7007269",""
"Dr. Volker Jaeckel","Belo Horizonte","Dr. Volker Jaeckel","-19.9","-43.9","","","","1020827",""
"Weitere Publikationen","Belo Horizonte","Weitere Publikationen","-19.9","-43.9","","","","1020827",""
"Amor Ayala","Berlin","Amor Ayala","52.5333","13.4167","","","","7003712",""
"Prof. Dr. Annette Gerstenberg","Berlin","Prof. Dr. Annette Gerstenberg","52.5333","13.4167","","","","7003712",""
"Prof. Dr. Anja  Bandau","Berlin","Prof. Dr. Anja  Bandau","52.5333","13.4167","","","","7003712",""
"Dr. Igor Candido","Berlin","Dr. Igor Candido","52.5333","13.4167","","","","7003712",""
"Dr. Georg Wink","Berlin","Dr. Georg Wink","52.5333","13.4167","","","","7003712",""
"Prof. Dr. Ronald Daus","Berlin","Prof. Dr. Ronald Daus","52.5333","13.4167","","","","7003712",""
"Dr. Patrick Roesler","Berlin","Dr. Patrick Roesler","52.5333","13.4167","","","","7003712",""
"Julius Becker","Berlin","Julius Becker","52.5333","13.4167","","","","7003712",""
"Mira Becker","Berlin","Mira Becker","52.5333","13.4167","","","","7003712",""
"PD Dr. Margot Brink","Berlin","PD Dr. Margot Brink","52.5333","13.4167","","","","7003712",""
"Prof. Dr. Margarete Zimmermann","Berlin","Prof. Dr. Margarete Zimmermann","52.5333","13.4167","","","","7003712",""
"PD Dr. Anita Traninger","Berlin","PD Dr. Anita Traninger","52.5333","13.4167","","","","7003712",""
"Dr. Silvia Richter","Berlin","Dr. Silvia Richter","52.5333","13.4167","","","","7003712",""
"Prof. Dr. Peter Stein","Berlin","Prof. Dr. Peter Stein","52.5333","13.4167","","","","7003712",""
"Dr. Valeriu P. Stancu","Berlin","Dr. Valeriu P. Stancu","52.5333","13.4167","","","","7003712",""
"Julia Zwink","Berlin","Julia Zwink","52.5333","13.4167","","","","7003712",""
"Dr. habil. Yvette Bürki","Bern","Dr. habil. Yvette Bürki","46.95","7.4333","","","","7007557",""
"Prof. Dr. Benedicte Vauthier","Bern","Prof. Dr. Benedicte Vauthier","46.95","7.4333","","","","7007557",""
"Prof. Dr. Elwys De Stefani","Bern","Prof. Dr. Elwys De Stefani","46.95","7.4333","","","","7007557",""
"Dr. habil. Katja Ploog","Besancon","Dr. habil. Katja Ploog","47.2333","6.0333","","","","7008356",""
"Dr. Carolin Patzelt","Bochum","Dr. Carolin Patzelt","51.4667","7.1833","","","","7004904",""
"Frank Günther-Spohr","Bochum","Frank Günther-Spohr","51.4667","7.1833","","","","7004904",""
"Ina Riesel","Bochum","Ina Riesel","51.4667","7.1833","","","","7004904",""
"Prof. Dr. Roger Friedlein","Bochum","Prof. Dr. Roger Friedlein","51.4667","7.1833","","","","7004904",""
"Silke Neumann","Bochum","Silke Neumann","51.4667","7.1833","","","","7004904",""
"Dr. Xenia von Tippelskirch","Bochum","Dr. Xenia von Tippelskirch","51.4667","7.1833","","","","7004904",""
