Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Dr. Reindert Dhondt,Leuven,1867-Reindert_Dhondt,4.7,50.8833,,2011-11-24,2015-01-01,7007949
Dr. Rembert Eufe,Regensburg,59-Rembert_Eufe,12.1,49.0167,,2009-12-13,2015-01-01,7013496
Dr. Renaud Lagabrielle,Wien,125-Renaud_Lagabrielle,16.3667,48.2167,,2010-02-11,2015-01-01,7003321
Dr. Ricarda Matheus,Spiekeroog,4049-Ricarda_Matheus,7.7167,53.7833,,2014-08-05,2015-01-01,1009246
Dr. Rita Rieger,Graz,1951-Rita_Rieger,15.3667,47.0833,,2011-12-21,2015-01-01,7003097
Dr. Robert Lukenda,Mainz,2289-Robert_Lukenda,8.2667,50,,2012-05-04,2015-01-01,7004449
Dr. Roberto Ubbidiente,Berlin,3449-Roberto_Ubbidiente,13.4167,52.5333,,2013-09-25,2015-01-01,7003712
Dr. Rolando Carrasco,Spiekeroog,3813-Rolando_Carrasco,7.7167,53.7833,,2014-04-01,2015-01-01,1009246
Dr. Rolf Kemmler,Vila Real,119-Rolf_Kemmler,-7.75,41.3333,,2010-02-03,2015-01-01,7003827
Dr. Rosamna Pardellas Velay,Essen,2067-Rosamna_Pardellas_Velay,4.4667,51.4667,,2012-02-01,2015-01-01,1026416
Dr. Sabine Narr,Saarbrücken,733-Sabine_Narr,6.9667,49.25,,2010-12-05,2015-01-01,7004454
Dr. Sandra Herling,Siegen,3605-Sandra_Herling,8.0333,50.8667,,2013-12-04,2015-01-01,7012712
Dr. Sandra Janßen,Berlin,3445-Sandra_Janssen,13.4167,52.5333,,2013-09-22,2015-01-01,7003712
Dr. Sandra Strigl,Spiekeroog,3582-Sandra_Strigl,7.7167,53.7833,,2013-11-24,2015-01-01,1009246
Dr. Santiago Cevallos,Spiekeroog,2975-Santiago_Cevallos,7.7167,53.7833,,2013-01-11,2015-01-01,1009246
Dr. Sascha Diwersy,Köln,3594-Sascha_Diwersy,6.95,50.9333,,2013-11-29,2015-01-01,7004446
Dr. Silvia Richter,Berlin,3900-Silvia_Richter,13.4167,52.5333,,2014-05-16,2015-01-01,7003712
Dr. Simona Bartoli Kucher,Graz,1364-Simona_Bartoli_Kucher,15.3667,47.0833,,2011-06-10,2015-01-01,7003097
Dr. Simona Fabellini,Regensburg,262-Simona_Fabellini,12.1,49.0167,,2010-07-03,2015-01-01,7013496
Dr. Simone Ventura,London,3790-Simone_Ventura,-0.1667,51.5,,2014-03-18,2015-01-01,7011781
Dr. Sofia  Stratilaki,Spiekeroog,2805-Sofia_Stratilaki,7.7167,53.7833,,2012-10-21,2015-01-01,1009246
Dr. Sonja Kral,Wien,1730-Sonja_Kral,16.3667,48.2167,,2011-10-12,2015-01-01,7003321
Dr. Sophie  Bertho,Freiburg,2282-Sophie_Bertho,7.85,48,,2012-05-01,2015-01-01,1003143
Dr. Stefania Murru,Italy,1698-Stefania_Murru,12.8333,42.8333,,2011-10-01,2015-01-01,1000080
Dr. Stéfanie Witzigmann,Heidelberg,1934-St_fanie_Witzigmann,8.7,49.4167,,2011-12-17,2015-01-01,7005177
Dr. Stephanie Fleischmann,Langeoog,3299-Stephanie_Fleischmann,7.4860135,53.7460094,,2013-07-09,2015-01-01,
Dr. Stephanie Klauk,Rome,3795-Stephanie_Klauk,12.5,41.8833,,2014-03-20,2015-01-01,7000874
Dr. Stephen Dörr,Heidelberg,2007-Stephen_DOerr,8.7,49.4167,,2012-01-12,2015-01-01,7005177
Dr. Steve Pagel,Halle an der Saale,1268-Steve_Pagel,12.0058500694,51.49571545,,2011-05-12,2015-01-01,
Dr. Susana Paula Tavares,Spiekeroog,4059-Susana_Paula_Tavares,7.7167,53.7833,,2014-08-14,2015-01-01,1009246
Dr. Susannah  Ellis,Spiekeroog,3905-Susannah_Ellis,7.7167,53.7833,,2014-05-11,2015-01-01,1009246
Dr. Susannah  Ellis,Paris,3881-Susannah_Ellis,2.3333,48.8667,,2014-05-19,2015-01-01,7008038
Dr. Sven Thorsten Kilian,Potsdam,2718-Sven_Thorsten_Kilian,13.0667,52.4,,2012-08-31,2015-01-01,7003728
Dr. Sylvia Setzkorn,Berlin,813-Sylvia_Setzkorn,13.4167,52.5333,,2010-12-23,2015-01-01,7003712
Dr. Tanja Schwan,Leipzig,3891-Tanja_Schwan,12.4167,51.3333,,2014-05-14,2015-01-01,7012329
Dr. Teresa Hiergeist,Erlangen,4057-Teresa_Hiergeist,11.0333,49.6,,2014-08-13,2015-01-01,7004332
