Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Dr. Carlos Ginés Orta,Spiekeroog,"<a href=""http://www.romanistik.de/pers/3723"">Dr. Carlos Ginés Orta</a>",7.7167,53.7833,,2014-02-28,2015-01-01,1009246
Dr. Carmela Fischer Díaz,Spiekeroog,"<a href=""http://www.romanistik.de/pers/3791"">Dr. Carmela Fischer Díaz</a>",7.7167,53.7833,,2014-03-18,2015-01-01,1009246
Dr. Carmen Konzett,Innsbruck,"<a href=""http://www.romanistik.de/pers/386"">Dr. Carmen Konzett</a>",11.4,47.2667,,2010-09-23,2015-01-01,7003249
Dr. Carmen Ramos,Würzburg,"<a href=""http://www.romanistik.de/pers/303"">Dr. Carmen Ramos</a>",9.9333,49.8,,2010-08-04,2015-01-01,7004335
Dr. Carolin Patzelt,Bochum,"<a href=""http://www.romanistik.de/pers/1105"">Dr. Carolin Patzelt</a>",7.1833,51.4667,,2011-03-15,2015-01-01,7004904
Dr. Caroline Mannweiler,Mainz,"<a href=""http://www.romanistik.de/pers/2670"">Dr. Caroline Mannweiler</a>",8.2667,50,,2012-08-03,2015-01-01,7004449
Dr. Caroline Surmann,Langeoog,"<a href=""http://www.romanistik.de/pers/2740"">Dr. Caroline Surmann</a>",7.4860135,53.7460094,,2012-09-16,2015-01-01,
Dr. Cecilia Mussini,Spiekeroog,"<a href=""http://www.romanistik.de/pers/3939"">Dr. Cecilia Mussini</a>",7.7167,53.7833,,2014-06-04,2015-01-01,1009246
Dr. Charlotte Krauss,Strasbourg,"<a href=""http://www.romanistik.de/pers/3018"">Dr. Charlotte Krauss</a>",7.75,48.5833,,2013-02-12,2015-01-01,7012346
Dr. Christian Grünnagel,Gießen,"<a href=""http://www.romanistik.de/pers/742"">Dr. Christian Grünnagel</a>",8.7,50.5833,,2010-12-07,2015-01-01,7004429
Dr. Christian van Treeck,Hamburg,"<a href=""http://www.romanistik.de/pers/493"">Dr. Christian van Treeck</a>",10,53.5833,,2010-10-23,2015-01-01,7003673
Dr. Christian Wille,Langeoog,"<a href=""http://www.romanistik.de/pers/2589"">Dr. Christian Wille</a>",7.4860135,53.7460094,,2012-07-01,2015-01-01,
Dr. Christina Schaefer,Berlin,"<a href=""http://www.romanistik.de/pers/2962"">Dr. Christina Schaefer</a>",13.4167,52.5333,,2013-01-05,2015-01-01,7003712
Dr. Christine Felbeck,Spiekeroog,"<a href=""http://www.romanistik.de/pers/3556"">Dr. Christine Felbeck</a>",7.7167,53.7833,,2013-11-13,2015-01-01,1009246
Dr. Christine Konecny,Innsbruck,"<a href=""http://www.romanistik.de/pers/305"">Dr. Christine Konecny</a>",11.4,47.2667,,2010-08-04,2015-01-01,7003249
Dr. Christof Schöch,Würzburg,"<a href=""http://www.romanistik.de/pers/13"">Dr. Christof Schöch</a>",9.9333,49.8,,2009-11-01,2015-01-01,7004335
Dr. Christoph Mayer,Dresden,"<a href=""http://www.romanistik.de/pers/1741"">Dr. Christoph Mayer</a>",13.75,51.05,,2011-10-17,2015-01-01,7004455
Dr. Christoph Platen,Spiekeroog,"<a href=""http://www.romanistik.de/pers/3866"">Dr. Christoph Platen</a>",7.7167,53.7833,,2014-05-05,2015-01-01,1009246
Dr. Christophe Gérard,Tübingen,"<a href=""http://www.romanistik.de/pers/65"">Dr. Christophe Gérard</a>",9.75,48.5,,2009-12-19,2015-01-01,1003267
Dr. Claire Block,Bremen,"<a href=""http://www.romanistik.de/pers/4084"">Dr. Claire Block</a>",8.8,53.0833,,2014-09-10,2015-01-01,7005286
Dr. Claude Paul,Mannheim,"<a href=""http://www.romanistik.de/pers/1774"">Dr. Claude Paul</a>",8.4667,49.5,,2011-10-28,2015-01-01,7005179
Dr. Claudia  Nickel,Göttingen,"<a href=""http://www.romanistik.de/pers/2447"">Dr. Claudia  Nickel</a>",9.95,51.5333,,2012-06-15,2015-01-01,7005246
Dr. Claudia Elisabeth Pichler,Klagenfurt,"<a href=""http://www.romanistik.de/pers/768"">Dr. Claudia Elisabeth Pichler</a>",14.3333,46.6333,,2010-12-14,2015-01-01,7003084
Dr. Claus D. Pusch,Freiburg,"<a href=""http://www.romanistik.de/pers/1088"">Dr. Claus D. Pusch</a>",7.85,48,,2011-03-09,2015-01-01,1003143
Dr. Corinna Manuela Kirstein,Langeoog,"<a href=""http://www.romanistik.de/pers/3015"">Dr. Corinna Manuela Kirstein</a>",7.4860135,53.7460094,,2013-02-09,2015-01-01,
Dr. Corinne M. Dölling,Jena,"<a href=""http://www.romanistik.de/pers/3583"">Dr. Corinne M. Dölling</a>",11.5833,50.9333,,2013-11-25,2015-01-01,7005973
Dr. Cristel Valzer,Spiekeroog,"<a href=""http://www.romanistik.de/pers/3954"">Dr. Cristel Valzer</a>",7.7167,53.7833,,2014-06-11,2015-01-01,1009246
Dr. Cristina Bianchi,Spiekeroog,"<a href=""http://www.romanistik.de/pers/3862"">Dr. Cristina Bianchi</a>",7.7167,53.7833,,2014-04-29,2015-01-01,1009246
Dr. Dagmar Schmelzer,Regensburg,"<a href=""http://www.romanistik.de/pers/597"">Dr. Dagmar Schmelzer</a>",12.1,49.0167,,2010-11-10,2015-01-01,7013496
Dr. Dagmar Stöferle,München,"<a href=""http://www.romanistik.de/pers/603"">Dr. Dagmar Stöferle</a>",11.5833,48.1333,,2010-11-11,2015-01-01,7004333
Dr. Daniel Winkler,Innsbruck,"<a href=""http://www.romanistik.de/pers/10"">Dr. Daniel Winkler</a>",11.4,47.2667,,2009-10-30,2015-01-01,7003249
Dr. Daniela Müller,Spiekeroog,"<a href=""http://www.romanistik.de/pers/3416"">Dr. Daniela Müller</a>",7.7167,53.7833,,2013-09-05,2015-01-01,1009246
Dr. Daniela Müller,Spiekeroog,"<a href=""http://www.romanistik.de/pers/4060"">Dr. Daniela Müller</a>",7.7167,53.7833,,2014-08-14,2015-01-01,1009246
Dr. Daniela Pietrini,Heidelberg,"<a href=""http://www.romanistik.de/pers/2092"">Dr. Daniela Pietrini</a>",8.7,49.4167,,2012-02-09,2015-01-01,7005177
Dr. Danielle  Dahan-Feucht,Konstanz,"<a href=""http://www.romanistik.de/pers/3614"">Dr. Danielle  Dahan-Feucht</a>",9.1667,47.6667,,2013-12-06,2015-01-01,7005174
Dr. Daron Burrows,Manchester,"<a href=""http://www.romanistik.de/pers/3036"">Dr. Daron Burrows</a>",,,,2013-02-26,2015-01-01,7026570
Dr. David Schidlowsky,Langeoog,"<a href=""http://www.romanistik.de/pers/3999"">Dr. David Schidlowsky</a>",7.4860135,53.7460094,,2014-07-07,2015-01-01,
"Dr. des. Karoline Henriette Heyder, geb. Meyer-Holz   ",Göttingen,"<a href=""http://www.romanistik.de/pers/1298"">Dr. des. Karoline Henriette Heyder</a>",9.95,51.5333,,2011-05-25,2015-01-01,7005246
Dr. Diego Bertelli ,New Haven,"<a href=""http://www.romanistik.de/pers/1358"">Dr. Diego Bertelli</a>",-91.2167,38.6,,2011-06-08,2015-01-01,2059864
Dr. Dirk Vetter,Spiekeroog,"<a href=""http://www.romanistik.de/pers/2425"">Dr. Dirk Vetter</a>",7.7167,53.7833,,2012-06-09,2015-01-01,1009246
Dr. Dominic Angeloch,Spiekeroog,"<a href=""http://www.romanistik.de/pers/3852"">Dr. Dominic Angeloch</a>",7.7167,53.7833,,2014-04-25,2015-01-01,1009246
Dr. Donatus  Düsterhaus,Spiekeroog,"<a href=""http://www.romanistik.de/pers/858"">Dr. Donatus  Düsterhaus</a>",7.7167,53.7833,,2011-01-06,2015-01-01,1009246
Dr. Doris  Wieser,Göttingen,"<a href=""http://www.romanistik.de/pers/271"">Dr. Doris  Wieser</a>",9.95,51.5333,,2010-07-14,2015-01-01,7005246
Dr. Doris Bachmann-Medick,Gießen,"<a href=""http://www.romanistik.de/pers/134"">Dr. Doris Bachmann-Medick</a>",8.7,50.5833,,2010-02-18,2015-01-01,7004429
Dr. Doris Eibl,Spiekeroog,"<a href=""http://www.romanistik.de/pers/4018"">Dr. Doris Eibl</a>",7.7167,53.7833,,2014-07-17,2015-01-01,1009246
Dr. Doris Grüter,Bonn,"<a href=""http://www.romanistik.de/pers/4006"">Dr. Doris Grüter</a>",7.1,50.7333,,2014-07-10,2015-01-01,7005090
Dr. Doris Pany,Göttingen,"<a href=""http://www.romanistik.de/pers/1831"">Dr. Doris Pany</a>",9.95,51.5333,,2011-11-14,2015-01-01,7005246
