Name,Address,Description,Latitude,Longitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Prof. Dr. Teresa Pinheiro,Chemnitz,Prof. Dr. Teresa Pinheiro,,,,,,
Corinne Bayerl,Chicago,Corinne Bayerl,,,,,,
Prof. Dr. Kay Gonzalez-Vilbazo,Chicago,Prof. Dr. Kay Gonzalez-Vilbazo,,,,,,
Prof. Dr. M. Carmen Balbuena Torezano,Cordoba,Prof. Dr. M. Carmen Balbuena Torezano,,,,,,
Cristina Cabrera,Deutschland,Cristina Cabrera,,,,,,
Rebecca Aschenberg,Deutschland,Rebecca Aschenberg,,,,,,
Estella Llorente,Deutschland,Estella Llorente,,,,,,
Academics.de www.academics.de,Deutschland,Academics.de www.academics.de,,,,,,
Ana Maria Ferri,Deutschland,Ana Maria Ferri,,,,,,
Redaktion romanistik.de,Deutschland,Redaktion romanistik.de,,,,,,
Nadine Alexander,Deutschland,Nadine Alexander,,,,,,
Rocio Cano,Deutschland,Rocio Cano,,,,,,
Frank-Michael Weiß,Deutschland,Frank-Michael Weiß,,,,,,
María Arribas,Deutschland,María Arribas,,,,,,
Prof. Dr. Raymund Wilhelm,Deutschland,Prof. Dr. Raymund Wilhelm,,,,,,
Dr. Anne Wigger,Deutschland,Dr. Anne Wigger,,,,,,
Robert Beck,Deutschland,Robert Beck,,,,,,
Géraldine Desmarchelier,Deutschland,Géraldine Desmarchelier,,,,,,
Sekretariat  Fremdsprachendidaktiken,Deutschland,Sekretariat  Fremdsprachendidaktiken,,,,,,
Virginie Ransinan,Deutschland,Virginie Ransinan,,,,,,
Silvia Eunice Gutiérrez De la Torre,Deutschland,Silvia Eunice Gutiérrez De la Torre,,,,,,
Susanne Zieglmeier,Deutschland,Susanne Zieglmeier,,,,,,
Caterina Sala,Deutschland,Caterina Sala,,,,,,
Dr. Patricia Bigdely,Deutschland,Dr. Patricia Bigdely,,,,,,
Laura Bally,Deutschland,Laura Bally,,,,,,
Dr. Lidia Cámara,Deutschland,Dr. Lidia Cámara,,,,,,
Madalina Simona  Schwarz,Deutschland,Madalina Simona  Schwarz,,,,,,
Cornelius Griep,Deutschland,Cornelius Griep,,,,,,
Julie  Behrman Ortegon,Deutschland,Julie  Behrman Ortegon,,,,,,
Elena Avrasina,Deutschland,Elena Avrasina,,,,,,
Andrea  Wurdak,Deutschland,Andrea  Wurdak,,,,,,
Haimo  Stiemer,Deutschland,Haimo  Stiemer,,,,,,
Prof. Dr. Roswitha Böhm,Dresden,Prof. Dr. Roswitha Böhm,,,,,,
Dr. Yasmin  Temelli,Düsseldorf,Dr. Yasmin  Temelli,,,,,,
Dorothea Kraus,Eichstätt,Dorothea Kraus,,,,,,
Prof. Dr. Jörg Dünne,Erfurt,Prof. Dr. Jörg Dünne,,,,,,
Dr. Monica Biasiolo,Erlangen,Dr. Monica Biasiolo,,,,,,
Prof. Dr. Andrea Pagni,Erlangen,Prof. Dr. Andrea Pagni,,,,,,
Cecile Croze,Essen,Cecile Croze,,,,,,
Prof. Dr. Dietmar Osthus,Essen,Prof. Dr. Dietmar Osthus,,,,,,
Prof. Dr. Daniel Reimann,Essen,Prof. Dr. Daniel Reimann,,,,,,
Andrea  Gremels,Frankfurt,Andrea  Gremels,,,,,,
Dr. Kathrina Reschka,Frankfurt,Dr. Kathrina Reschka,,,,,,
Anna-Christine Weirich,Frankfurt,Anna-Christine Weirich,,,,,,
Dr. Regina Schleicher,Frankfurt,Dr. Regina Schleicher,,,,,,
Dr. Jochen Strathmann,Frankfurt,Dr. Jochen Strathmann,,,,,,
Tobias Berneiser,Frankfurt,Tobias Berneiser,,,,,,
Maurella Carbone,Frankfurt,Maurella Carbone,,,,,,
Maria Amelina,Frankfurt,Maria Amelina,,,,,,
Tatjana  Leichsering,Frankfurt,Tatjana  Leichsering,,,,,,
Dr. Ingo Feldhausen,Frankfurt,Dr. Ingo Feldhausen,,,,,,
Beatrice Vervuert,Frankfurt,Beatrice Vervuert,,,,,,
Katja Priebe,Frankfurt,Katja Priebe,,,,,,
Dr. Sophie  Bertho,Freiburg,Dr. Sophie  Bertho,,,,,,
Prof. Dr. Isabelle Mordellet-Roggenbuck,Freiburg,Prof. Dr. Isabelle Mordellet-Roggenbuck,,,,,,
Luminita Trasca,Freiburg,Luminita Trasca,,,,,,
Dr. Claus D. Pusch,Freiburg,Dr. Claus D. Pusch,,,,,,
Mario Willersinn,Freiburg,Mario Willersinn,,,,,,
Prof. Dr. Rita  De Maeseneer,Gent,Prof. Dr. Rita  De Maeseneer,,,,,,
Dr. Doris Bachmann-Medick,Gießen,Dr. Doris Bachmann-Medick,,,,,,
Anna  Wörsdörfer,Gießen,Anna  Wörsdörfer,,,,,,
Dr. Christian Grünnagel,Gießen,Dr. Christian Grünnagel,,,,,,
Dr. Henriette  Partzsch,Glasgow,Dr. Henriette  Partzsch,,,,,,
Markus Breitbarth,Göttingen,Markus Breitbarth,,,,,,
Frank Savelsberg,Göttingen,Frank Savelsberg,,,,,,
 Ximena Ordónez ,Göttingen, Ximena Ordónez ,,,,,,
Ines Hansen,Göttingen,Ines Hansen,,,,,,
Dr. Luca Melchior,Graz,Dr. Luca Melchior,,,,,,
Andreea Csibi,Graz,Andreea Csibi,,,,,,
Isabel Azevedo,Graz,Isabel Azevedo,,,,,,
Dr. Rita Rieger,Graz,Dr. Rita Rieger,,,,,,
Dr. Fausto De Michele,Graz,Dr. Fausto De Michele,,,,,,
Dr. Andrea Berger,Graz,Dr. Andrea Berger,,,,,,
Dr. Simona Bartoli Kucher,Graz,Dr. Simona Bartoli Kucher,,,,,,
Dr. António  Dinis,Graz,Dr. António  Dinis,,,,,,
Stefanie Voigt,Groningen,Stefanie Voigt,,,,,,
Dr. Irma Susana Carbajal Vaca,Guadalajara,Dr. Irma Susana Carbajal Vaca,,,,,,
Dr. Aurélie Barjonet,Guyancourt,Dr. Aurélie Barjonet,,,,,,
Prof. Dr. Thomas Bremer,Halle,Prof. Dr. Thomas Bremer,,,,,,
Prof. Dr. Eva Leitzke-Ungerer,Halle,Prof. Dr. Eva Leitzke-Ungerer,,,,,,
Ida Danciu,Hamburg,Ida Danciu,,,,,,
Christian Beermann,Hamburg,Christian Beermann,,,,,,
Dr. Ebba Durstewitz,Hamburg,Dr. Ebba Durstewitz,,,,,,
Prof. Dr. Christoph Gabriel,Hamburg,Prof. Dr. Christoph Gabriel,,,,,,
Johannes Kambylis,Hamburg,Johannes Kambylis,,,,,,
Prof. Dr. Marcus Bär,Hamburg,Prof. Dr. Marcus Bär,,,,,,
Dr. Marc-Olivier Hinzelin,Hamburg,Dr. Marc-Olivier Hinzelin,,,,,,
Julia Borst,Hamburg,Julia Borst,,,,,,
Iván Allende,Hamburg,Iván Allende,,,,,,
Prof. Dr. Lidia  Becker,Hannover,Prof. Dr. Lidia  Becker,,,,,,
Dr. Arlety Góngora,Havana,Dr. Arlety Góngora,,,,,,
Dr. Giulia Pelillo,Heidelberg,Dr. Giulia Pelillo,,,,,,
Prof. Dr. Vittoria  Borsò,Heidelberg,Prof. Dr. Vittoria  Borsò,,,,,,
Cosima Stawenow,Heidelberg,Cosima Stawenow,,,,,,
Eva Maria Loos,Heidelberg,Eva Maria Loos,,,,,,
Denis Zh,Heidelberg,Denis Zh,,,,,,
Inés Recio Fernández,Heidelberg,Inés Recio Fernández,,,,,,
Dr. Stephen Dörr,Heidelberg,Dr. Stephen Dörr,,,,,,
Anne Sommer,Heidelberg,Anne Sommer,,,,,,
Dr. Stéfanie Witzigmann,Heidelberg,Dr. Stéfanie Witzigmann,,,,,,
Dr. Daniela Pietrini,Heidelberg,Dr. Daniela Pietrini,,,,,,
Dr. Viktoria Adam,Heidelberg,Dr. Viktoria Adam,,,,,,
Prof. Dr. Gerhard  Poppenberg,Heidelberg,Prof. Dr. Gerhard  Poppenberg,,,,,,
PD Dr. Caroline Lüderssen,Heidelberg,PD Dr. Caroline Lüderssen,,,,,,
Ruth Katharina Kopp,Heidelberg,Ruth Katharina Kopp,,,,,,
Sandra Rudman,Heidelberg,Sandra Rudman,,,,,,
Prof. Dr. Kirsten  Mahlke,Heidelberg,Prof. Dr. Kirsten  Mahlke,,,,,,
Prof. Dr. Margarita Borreguero,Heidelberg,Prof. Dr. Margarita Borreguero,,,,,,
Wiebke Beushausen,Heidelberg,Wiebke Beushausen,,,,,,
Dr. Anne Brüske,Heidelberg,Dr. Anne Brüske,,,,,,
Sylvia Rexing,Heidelberg,Sylvia Rexing,,,,,,
Helmut Ullrich,Heidelberg,Helmut Ullrich,,,,,,
Prof. Dr. Oscar Loureda,Heidelberg,Prof. Dr. Oscar Loureda,,,,,,
Karen Saban,Heidelberg,Karen Saban,,,,,,
Dr. Laura Biella,Heidelberg,Dr. Laura Biella,,,,,,
Ana-Sofia Commichau,Heidelberg,Ana-Sofia Commichau,,,,,,
Prof. Dr. Bettina Kluge,Hildesheim,Prof. Dr. Bettina Kluge,,,,,,
Spanische ArbeitsmigrantInnen in Niedersachsen,Hildesheim,Spanische ArbeitsmigrantInnen in Niedersachsen,,,,,,
Prof. Dr. Andrei Corbea-Hoisie,Iasi,Prof. Dr. Andrei Corbea-Hoisie,,,,,,
Prof. Dr. Ursula Mathis-Moser,Innsbruck,Prof. Dr. Ursula Mathis-Moser,,,,,,
Prof. Dr. Birgit Mertz-Baumgartner,Innsbruck,Prof. Dr. Birgit Mertz-Baumgartner,,,,,,
Dr. Angelo Pagliardini,Innsbruck,Dr. Angelo Pagliardini,,,,,,
Julia Pümpel,Innsbruck,Julia Pümpel,,,,,,
