Name,Address,Description,Latitude,Longitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Prof. Dr. Antonella Benucci,Siena,Prof. Dr. Antonella Benucci,,,,,,
Prof. Dr. Henry Thorau,Trier,Prof. Dr. Henry Thorau,,,,,,
Prof. Dr. Andre Klump,Trier,Prof. Dr. Andre Klump,,,,,,
Reinhard Berron,Tübingen,Reinhard Berron,,,,,,
Dr. Laurentius Pop,Tübingen,Dr. Laurentius Pop,,,,,,
Dr. Rada Bieberstein,Tübingen,Dr. Rada Bieberstein,,,,,,
Serena Bartali,Tübingen,Serena Bartali,,,,,,
Christoph Maria Sanders,Tübingen,Christoph Maria Sanders,,,,,,
Dr. habil. Ferran Robles Sabater,Valencia,Dr. habil. Ferran Robles Sabater,,,,,,
Prof. Dr. Giuliana Giusti,Venezia,Prof. Dr. Giuliana Giusti,,,,,,
Dr. Esther Gimeno Ugalde,Wien,Dr. Esther Gimeno Ugalde,,,,,,
Prof. Dr. Gualtiero Boaglio,Wien,Prof. Dr. Gualtiero Boaglio,,,,,,
PD Dr. Margit Thir,Wien,PD Dr. Margit Thir,,,,,,
Dr. Max  Doppelbauer,Wien,Dr. Max  Doppelbauer,,,,,,
Dr. Sonja Kral,Wien,Dr. Sonja Kral,,,,,,
Dr. Marina Corrêa,Wien,Dr. Marina Corrêa,,,,,,
Dr. Laia Arnaus Gil,Wuppertal,Dr. Laia Arnaus Gil,,,,,,
Berit Callsen,Würzburg,Berit Callsen,,,,,,
Robert  Hesselbach,Würzburg,Robert  Hesselbach,,,,,,
Prof. Dr. Brigitte Burrichter,Würzburg,Prof. Dr. Brigitte Burrichter,,,,,,
Julien Bobineau,Würzburg,Julien Bobineau,,,,,,
Dr. Christof Schöch,Würzburg,Dr. Christof Schöch,,,,,,
Reto Zöllner,Zürich,Reto Zöllner,,,,,,
Prof. Dr. Johannes Kabatek,Zürich,Prof. Dr. Johannes Kabatek,,,,,,
Julie Dekens,Zürich,Julie Dekens,,,,,,
Dr. Inka Wissner,Zürich,Dr. Inka Wissner,,,,,,
Prof. Dr. Thomas Johnen,Zwickau,Prof. Dr. Thomas Johnen,,,,,,
