Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Vera Ferreira,Regensburg,Vera Ferreira,12.1,49.0167,,2013-01-17,2015-01-01,7013496
Dr. Rebecca Ferreboeuf,Durham,Dr. Rebecca Ferreboeuf,-1.5667,54.7833,,2013-01-21,2015-01-01,7010027
Julius Erdmann,Potsdam,Julius Erdmann,13.0667,52.4,,2013-01-22,2015-01-01,7003728
Dr. Laia Arnaus Gil,Wuppertal,Dr. Laia Arnaus Gil,7.1833,51.2667,,2013-01-24,2015-01-01,7004943
Sina Saafi,Essen,Sina Saafi,4.4667,51.4667,,2013-01-24,2015-01-01,1026416
Prof. Dr. Eva Kimminich,Potsdam,Prof. Dr. Eva Kimminich,13.0667,52.4,,2013-01-25,2015-01-01,7003728
Luminita Trasca,Freiburg,Luminita Trasca,7.85,48,,2013-01-27,2015-01-01,1003143
Prof. Dr. Robert Fajen,Halle an der Saale,Prof. Dr. Robert Fajen,12.0058500694,51.49571545,,2013-01-28,2015-01-01,
Dr. Marisa Patuto,Wuppertal,Dr. Marisa Patuto,7.1833,51.2667,,2013-01-29,2015-01-01,7004943
Prof. Dr. Andrei Corbea-Hoisie,Iași,Prof. Dr. Andrei Corbea-Hoisie,27.6333,47.15,,2013-01-30,2015-01-01,7004033
Prof. Dr. Magda Jeanrenaud,Iași,Prof. Dr. Magda Jeanrenaud,27.6333,47.15,,2013-01-30,2015-01-01,7004033
Marie-Therese Mäder,Halle an der Saale,Marie-Therese Mäder,12.0058500694,51.49571545,,2013-01-31,2015-01-01,
Vanessa Tölke,Freiburg,Vanessa Tölke,7.85,48,,2013-02-01,2015-01-01,1003143
Aline Willems,Trier,Aline Willems,6.5833,50,,2013-02-01,2015-01-01,7004451
Prof. Dr. Dorothee Röseberg,Halle an der Saale,Prof. Dr. Dorothee Röseberg,12.0058500694,51.49571545,,2013-02-05,2015-01-01,
Dirk Brunke,Bochum,Dirk Brunke,7.1833,51.4667,,2013-02-06,2015-01-01,7004904
Corinna Albert,Bochum,Corinna Albert,7.1833,51.4667,,2013-02-06,2015-01-01,7004904
