"<a href=""http://www.romanistik.de/pers/4053"">Annika  Mayer</a>",Annika  Mayer,##NA##,Universität Kassel --  Kurt-Wolters-Straße  5 34125 Kassel Deutschland ,2014-08-11,
"<a href=""http://www.romanistik.de/pers/3129"">Antje Ziethen</a>",Antje Ziethen,##NA##,McGill University --  Deutschland ,2013-04-18,
"<a href=""http://www.romanistik.de/pers/1195"">Antonella Ruggieri</a>",Antonella Ruggieri,http://tu-dresden.de/die_tu_dresden/fakultaeten/fakultaet_sprach_literatur_und_kulturwissenschaften/romanistik/mitarbeiter/ruggieri,Technische Universität Dresden --   Dresden Deutschland ,2011-04-21,
"<a href=""http://www.romanistik.de/pers/275"">Antonie Rita  Wiedemann</a>",Antonie Rita  Wiedemann,##NA##,Università degli Studi di Genova --  Via Balbi 4 16120 Genova Italien ,2010-07-15,
"<a href=""http://www.romanistik.de/pers/848"">Antonina Klokova</a>",Antonina Klokova,##NA##,##NA## -- ##NA##,2011-01-03,
"<a href=""http://www.romanistik.de/pers/3157"">Antonio  Barquero</a>",Antonio  Barquero,http://www.uni-potsdam.de/romanistik/neis/barquero.html,Universität Potsdam --  Deutschland ,2013-05-06,
"<a href=""http://www.romanistik.de/pers/2929"">Antonio Gallardo Gracia</a>",Antonio Gallardo Gracia,##NA##,Julius-Maximilians-Universität Würzburg --  Am Hubland  97074 Würzburg Deutschland ,2012-12-17,
"<a href=""http://www.romanistik.de/pers/3729"">Apl. Prof. Carlos Balle Blanes</a>",Apl. Prof. Carlos Balle Blanes,##NA##,##NA## -- ##NA##,2014-03-01,
"<a href=""http://www.romanistik.de/pers/991"">Apl. Prof. Christophe Losfeld</a>",Apl. Prof. Christophe Losfeld,http://webdoc2.urz.uni-halle.de/izea/cms/de/personen-profil/mitarbeiter/pd-dr-christophe-losfeld.html,Martin-Luther-Universität Halle-Wittenberg --   Halle-Wittenberg Deutschland ,2011-02-04,
"<a href=""http://www.romanistik.de/pers/2921"">Apl. Prof. Georgia Carvace</a>",Apl. Prof. Georgia Carvace,##NA##,##NA## -- ##NA##,2012-12-12,
"<a href=""http://www.romanistik.de/pers/2924"">Apl. Prof. Jalouneix Catherine</a>",Apl. Prof. Jalouneix Catherine,##NA##,Université Paris-Sorbonne --  Frankreich ,2012-12-13,
"<a href=""http://www.romanistik.de/pers/437"">Apl. Prof. Magda Hurtado</a>",Apl. Prof. Magda Hurtado,##NA##,##NA## -- ##NA##,2010-10-12,
"<a href=""http://www.romanistik.de/pers/2381"">Apl. Prof. Marta Estévez Pequeño</a>",Apl. Prof. Marta Estévez Pequeño,##NA##,Universidade de Coimbra --  Portugal ,2012-06-01,
"<a href=""http://www.romanistik.de/pers/3162""> Aristhide Nyamsi</a>",Aristhide Nyamsi,##NA##,##NA## --  Deutschland ,2013-05-10,
"<a href=""http://www.romanistik.de/pers/3885"">Astrid Wlach</a>",Astrid Wlach,##NA##,##NA## -- ##NA##,2014-05-13,
"<a href=""http://www.romanistik.de/pers/3971"">Bàrbara Roviró</a>",Bàrbara Roviró,##NA##,##NA## -- ##NA##,2014-06-21,
"<a href=""http://www.romanistik.de/pers/2731"">Barbara Stübner</a>",Barbara Stübner,##NA##,##NA## -- ##NA##,2012-09-12,
"<a href=""http://www.romanistik.de/pers/3906""> Bastienne Schulz</a>",Bastienne Schulz, ##NA##," SciencesPo Paris, Campus Nancy --  Deutschland  ",2014-05-19,
"<a href=""http://www.romanistik.de/pers/3787"">Beate Kerpen</a>",Beate Kerpen,##NA##,##NA## -- ##NA##,2014-03-17,
"<a href=""http://www.romanistik.de/pers/69"">Beatrice Vervuert</a>",Beatrice Vervuert,##NA##,Iberoamericana / Vervuert. Wiss. Buchhandlung und Verlag --  Deutschland ,2009-12-21,
"<a href=""http://www.romanistik.de/pers/3964"">Beatrice Virendi</a>",Beatrice Virendi,##NA##,##NA## -- ##NA##,2014-06-18,
"<a href=""http://www.romanistik.de/pers/473"">Benjamin  Inal</a>",Benjamin  Inal,http://www.uni-giessen.de/cms/fbz/dfgk/tme/mitglieder/benjamin-inal,Justus-Liebig-Universität Gießen --   Gießen Deutschland ,2010-10-19,
"<a href=""http://www.romanistik.de/pers/3234"">Benjamin Loy</a>",Benjamin Loy,http://romanistik.phil-fak.uni-koeln.de/19142.html?&L=0,Universität zu Köln --  Albertus-Magnus-Platz  50923 Köln Deutschland ,2013-06-17,
"<a href=""http://www.romanistik.de/pers/3223"">Benny Schulz</a>",Benny Schulz,##NA##,##NA## -- ##NA##,2013-06-12,
"<a href=""http://www.romanistik.de/pers/1110"">Berit Callsen</a>",Berit Callsen,##NA##,Julius-Maximilians-Universität Würzburg --  Deutschland ,2011-03-18,
"<a href=""http://www.romanistik.de/pers/52"">Bernd Tesch</a>",Bernd Tesch ,http://www.iqb.hu-berlin.de/mitarb/mitarb?pg=bte ,"Institut zur Qualitätsentwicklung im Bildungswesen (IQB), Berlin --  Luisenstraße 56 10117 Berlin Deutschland  ",2009-12-08,
"<a href=""http://www.romanistik.de/pers/276"">Bernhard Haidacher</a>",Bernhard Haidacher,##NA##,##NA## --  Österreich ,2010-07-15,
"<a href=""http://www.romanistik.de/pers/212"">Birgit Olk</a>",Birgit Olk,##NA##,Universität Mannheim --  Deutschland ,2010-05-25,
"<a href=""http://www.romanistik.de/pers/319"">Birgit Ueffing</a>",Birgit Ueffing,##NA##,##NA## -- ##NA##,2010-08-22,
"<a href=""http://www.romanistik.de/pers/256"">Birgit Ulmer</a>",Birgit Ulmer,http://www.uni-stuttgart.de/italianistik/,Universität Stuttgart --  Deutschland ,2010-06-29,
"<a href=""http://www.romanistik.de/pers/2734"">Björn Römer</a>",Björn Römer,##NA##,##NA## -- ##NA##,2012-09-14,
"<a href=""http://www.romanistik.de/pers/1027"">Boris Roman Gibhardt</a>",Boris Roman Gibhardt,http://www.dtforum.org/index.php?id=56,Deutsches Forum für Kunstgeschichte --   Paris Frankreich ,2011-02-16,
"<a href=""http://www.romanistik.de/pers/216"">Britta Heinrauch</a>",Britta Heinrauch,##NA##,##NA## -- ##NA##,2010-05-27,
"<a href=""http://www.romanistik.de/pers/3882"">Britta Quisbrok</a>",Britta Quisbrok,##NA##,##NA## -- ##NA##,2014-05-12,
"<a href=""http://www.romanistik.de/pers/2094"">Britta von Eitzen </a>",Britta von Eitzen ,##NA##,##NA## --  Deutschland ,2012-02-11,
"<a href=""http://www.romanistik.de/pers/3319"">Camila de Lira Santos</a>",Camila de Lira Santos,##NA##,##NA## -- ##NA##,2013-07-15,
"<a href=""http://www.romanistik.de/pers/1848"">Carla Amado</a>",Carla Amado,##NA##,Universität des Saarlandes --  Deutschland ,2011-11-18,
"<a href=""http://www.romanistik.de/pers/3829"">Carlos Collado Seidel</a>",Carlos Collado Seidel,##NA##,Philipps-Universität Marburg --  Wilhelm-Röpke-Str. 6c 35032 Marburg Deutschland ,2014-04-09,
"<a href=""http://www.romanistik.de/pers/3935"">Carmen Mata Castro</a>",Carmen Mata Castro,##NA##,##NA## -- ##NA##,2014-06-03,
"<a href=""http://www.romanistik.de/pers/2032"">Carmen Vidal</a>",Carmen Vidal,##NA##,##NA## --  Deutschland ,2012-01-17,
"<a href=""http://www.romanistik.de/pers/1414"">Carolin Benz</a>",Carolin Benz,##NA##,##NA## -- ##NA##,2011-06-24,
"<a href=""http://www.romanistik.de/pers/57"">Carolin Stellbrink</a>",Carolin Stellbrink,##NA##,Universität Paderborn --  Deutschland ,2009-12-11,
"<a href=""http://www.romanistik.de/pers/3349"">Carolina  Spiegel</a>",Carolina  Spiegel,##NA##,Ludwig-Maximilians-Universität München --  Deutschland ,2013-07-26,
"<a href=""http://www.romanistik.de/pers/3752"">Carolina Caballero</a>",Carolina Caballero,##NA##,##NA## -- ##NA##,2014-03-04,
"<a href=""http://www.romanistik.de/pers/300"">Carolina Gutiérrez Rudas</a>",Carolina Gutiérrez Rudas,##NA##,Ruprecht-Karl-Universität Heidelberg --  Bergheimerstrasse 20 69120 Heidelberg Deutschland ,2010-08-02,
"<a href=""http://www.romanistik.de/pers/3764"">Caterina Sala</a>",Caterina Sala,##NA##,##NA## --  Deutschland ,2014-03-07,
"<a href=""http://www.romanistik.de/pers/210"">Catia Russo</a>",Catia Russo,www.alivraria.de,Buchhandlung A Livraria --  Torstraße 159 10115 Berlin Deutschland ,2010-05-20,
"<a href=""http://www.romanistik.de/pers/2011"">Catrin Kersten</a>",Catrin Kersten,##NA##,Universität Siegen --  Deutschland ,2012-01-13,
"<a href=""http://www.romanistik.de/pers/3818"">Cecile Croze</a>",Cecile Croze,##NA##,Universität Duisburg- Essen --   Essen Deutschland ,2014-04-06,
"<a href=""http://www.romanistik.de/pers/3820"">Cécile Lambert</a>",Cécile Lambert,##NA##,##NA## -- ##NA##,2014-04-06,
"<a href=""http://www.romanistik.de/pers/1547"">CHAPTERS IN COLLECTIONS</a>",CHAPTERS IN COLLECTIONS,http://pluto.huji.ac.il/~msquin/,Hebrew University of Jerusalem --  Faculty of Humanities - Mount Scopus  91905 Jerusalem Israel ,2011-08-08,
"<a href=""http://www.romanistik.de/pers/1572"">Christian Beermann</a>",Christian Beermann,##NA##,Universität Hamburg --   Hamburg Deutschland ,2011-08-19,
"<a href=""http://www.romanistik.de/pers/241"">Christian Reidenbach</a>",Christian Reidenbach,http://www.gruendungsmythen-europas.uni-bonn.de,Universität Bonn --  Deutschland ,2010-06-17,
"<a href=""http://www.romanistik.de/pers/3062"">Christian Schweizer</a>",Christian Schweizer,##NA##,Universität des Saarlandes --  Deutschland ,2013-03-14,
"<a href=""http://www.romanistik.de/pers/2739"">Christiane  Ebner</a>",Christiane  Ebner,##NA##,##NA## --  Deutschland ,2012-09-16,
"<a href=""http://www.romanistik.de/pers/3517"">Christiane  Quandt</a>",Christiane  Quandt,##NA##,##NA## -- ##NA##,2013-10-30,
"<a href=""http://www.romanistik.de/pers/1788"">Christiane Pflaum</a>",Christiane Pflaum,##NA##,##NA## -- ##NA##,2011-10-31,
"<a href=""http://www.romanistik.de/pers/299"">Christin Kunzmann</a>",Christin Kunzmann,##NA##,##NA## -- ##NA##,2010-08-02,
"<a href=""http://www.romanistik.de/pers/424"">Christina Liebl</a>",Christina Liebl,##NA##,##NA## -- ##NA##,2010-10-03,
"<a href=""http://www.romanistik.de/pers/1632"">Christina Riesenweber</a>",Christina Riesenweber,http://www.uni-goettingen.de/de/120995.html,Georg-August-Universität Göttingen --   Göttingen Deutschland ,2011-09-08,
"<a href=""http://www.romanistik.de/pers/286"">Christine Irmler</a>",Christine Irmler,##NA##,##NA## -- ##NA##,2010-07-23,
"<a href=""http://www.romanistik.de/pers/2044"">Christine Ostmann</a>",Christine Ostmann,##NA##,##NA## -- ##NA##,2012-01-23,
"<a href=""http://www.romanistik.de/pers/1903"">Christoph  Behrens</a>",Christoph  Behrens,##NA##,Universität Rostock --  August-Bebel-Str.  28 18051  Rostock  Deutschland ,2011-12-08,
"<a href=""http://www.romanistik.de/pers/3084"">Christoph Hornung</a>",Christoph Hornung,http://www.romanistik.uni-wuerzburg.de/mitarbeiter/hornung/,Universität Würzburg --  Deutschland ,2013-03-25,
"<a href=""http://www.romanistik.de/pers/3778"">Christoph Hülsmann</a>",Christoph Hülsmann,##NA##,##NA## -- ##NA##,2014-03-14,
"<a href=""http://www.romanistik.de/pers/3194"">Christoph Maria Sanders</a>",Christoph Maria Sanders,##NA##,Universität Tübingen --  Deutschland ,2013-05-27,
"<a href=""http://www.romanistik.de/pers/3687"">Claudia  Damian</a>",Claudia  Damian,##NA##,##NA## -- ##NA##,2014-01-27,
"<a href=""http://www.romanistik.de/pers/1280"">Claudia Lönze</a>",Claudia Lönze,http://www.uni-siegen.de/zfl/kontakt/?lang=de,Universität Siegen --   Siegen Deutschland ,2011-05-18,
"<a href=""http://www.romanistik.de/pers/3544"">Claudia Schweitzer</a>",Claudia Schweitzer,##NA##,##NA## -- ##NA##,2013-11-08,
"<a href=""http://www.romanistik.de/pers/4063"">Claudia Sofie Schmitz</a>",Claudia Sofie Schmitz,http://www.romanistik.uni-bonn.de/die-bonner-romanistik/lehrende/claudia-schmitz,Rheinische Friedrich-Wilhelms-Universität Bonn --  Am Hof 1 53113 Bonn Deutschland ,2014-08-18,
"<a href=""http://www.romanistik.de/pers/3730"">Concetta Di Biase</a>",Concetta Di Biase,##NA##,##NA## -- ##NA##,2014-03-01,
"<a href=""http://www.romanistik.de/pers/3788"">Cord-Christian Casper</a>",Cord-Christian Casper,##NA##,##NA## -- ##NA##,2014-03-18,
"<a href=""http://www.romanistik.de/pers/3006"">Corinna Albert</a>",Corinna Albert,##NA##,Ruhr-Universität Bochum --  Universitätsstraße 150 44801 Bochum Deutschland ,2013-02-06,
"<a href=""http://www.romanistik.de/pers/485"">Corinna Koch</a>",Corinna Koch,##NA##,Ruhr-Universität Bochum --   Bochum Deutschland ,2010-10-22,
"<a href=""http://www.romanistik.de/pers/26"">Corinne Bayerl</a>",Corinne Bayerl,##NA##,University of Chicago --  Vereinigte Staaten ,2009-12-02,
"<a href=""http://www.romanistik.de/pers/3808"">Cornelia Steil</a>",Cornelia Steil,##NA##,##NA## -- ##NA##,2014-03-27,
"<a href=""http://www.romanistik.de/pers/1235"">Cornelius Griep</a>",Cornelius Griep,##NA##,##NA## --  Deutschland ,2011-05-04,
"<a href=""http://www.romanistik.de/pers/1882"">Cosima Stawenow</a>",Cosima Stawenow,http://www.stawenow-textgrafik.de/,Ruprecht-Karls-Universität Heidelberg --  Seminarstraße 3 69117 Heidelberg Deutschland ,2011-12-01,
"<a href=""http://www.romanistik.de/pers/233"">Cristina Cabrera</a>",Cristina Cabrera,##NA##,##NA## --  Deutschland ,2010-06-08,
"<a href=""http://www.romanistik.de/pers/3619"">Cristina Murrone</a>",Cristina Murrone,##NA##,##NA## -- ##NA##,2013-12-09,
"<a href=""http://www.romanistik.de/pers/672"">Cynthia  Carggiolis Abarza</a>",Cynthia  Carggiolis Abarza,##NA##,Ruhr-Universität Bochum --  Deutschland ,2010-11-22,
"<a href=""http://www.romanistik.de/pers/632"">Daniel  Kallweit</a>",Daniel  Kallweit,http://homepage.ruhr-uni-bochum.de/daniel.kallweit,Ruhr-Universität Bochum --   Bochum Deutschland ,2010-11-15,
"<a href=""http://www.romanistik.de/pers/1"">Daniel Dengler</a>",Daniel Dengler,www.ddengler.com,##NA## --   Regensburg Deutschland ,2009-10-24,
"<a href=""http://www.romanistik.de/pers/206"">Daniel Souza</a>",Daniel Souza,##NA##,##NA## --  Deutschland ,2010-05-17,
"<a href=""http://www.romanistik.de/pers/148"">Daniel Wendt</a>",Daniel Wendt,##NA##,##NA## -- ##NA##,2010-03-02,
"<a href=""http://www.romanistik.de/pers/2784"">Daniel Werner</a>",Daniel Werner,##NA##,##NA## -- ##NA##,2012-10-11,
"<a href=""http://www.romanistik.de/pers/3917"">Daniela Bister</a>",Daniela Bister,##NA##,Philipps-Universität Marburg --  Wilhelm-Röpke-Str.  6D  Marburg Deutschland ,2014-05-24,
"<a href=""http://www.romanistik.de/pers/149"">Daniela Gigante</a>",Daniela Gigante,##NA##,##NA## -- ##NA##,2010-03-02,
"<a href=""http://www.romanistik.de/pers/2608"">Daniela Herglotz</a>",Daniela Herglotz,##NA##,Ludwig-Maximilians-Universität München --   München Deutschland ,2012-07-07,
"<a href=""http://www.romanistik.de/pers/3809""> Daniela Kopf</a>",Daniela Kopf, ##NA## ,"Universität Mannheim --  L15, 1-6  68131 Mannheim Deutschland  ",2014-03-28,
"<a href=""http://www.romanistik.de/pers/304"">Daniela Szyska</a>",Daniela Szyska,http://cms.uni-kassel.de/unicms/?id=26753,Universität Kassel --   Kassel Deutschland ,2010-08-04,
"<a href=""http://www.romanistik.de/pers/983"">David Klein</a>",David Klein,##NA##,Ludwig-Maximilians-Universität München --  Schellingstr. 3 80799 München Deutschland ,2011-02-02,
"<a href=""http://www.romanistik.de/pers/1461"">David Rusek</a>",David Rusek,##NA##,##NA## --  Deutschland ,2011-07-09,
"<a href=""http://www.romanistik.de/pers/3525"">Denis Zh</a>",Denis Zh,##NA##,Universität Heidelberg --  Deutschland ,2013-11-02,
"<a href=""http://www.romanistik.de/pers/3511"">Diana  Di Maria</a>",Diana  Di Maria,##NA##,##NA## -- ##NA##,2013-10-24,
"<a href=""http://www.romanistik.de/pers/3956"">Diego Stefanelli</a>",Diego Stefanelli,##NA##,##NA## -- ##NA##,2014-06-12,
"<a href=""http://www.romanistik.de/pers/3913"">Dirk Brunke</a>",Dirk Brunke,##NA##,##NA## -- ##NA##,2014-05-21,
"<a href=""http://www.romanistik.de/pers/3005"">Dirk Brunke</a>",Dirk Brunke,##NA##,Ruhr-Universität Bochum --  Deutschland ,2013-02-06,
"<a href=""http://www.romanistik.de/pers/56"">Dorothea Kraus</a>",Dorothea Kraus,http://www.ku-eichstaett.de/Fakultaeten/SLF/romanistik,Katholische Universität Eichstätt-Ingolstadt --  Universitätsallee 1 85072 Eichstätt Deutschland ,2009-12-09,
"<a href=""http://www.romanistik.de/pers/129"">Dr. Aclay Asutay</a>",Dr. Aclay Asutay,##NA##,##NA## --  Deutschland ,2010-02-13,
"<a href=""http://www.romanistik.de/pers/3955"">Dr. Adriana López-Labourdette</a>",Dr. Adriana López-Labourdette,##NA##,##NA## -- ##NA##,2014-06-12,
"<a href=""http://www.romanistik.de/pers/1762"">Dr. Adriana Vignazia</a>",Dr. Adriana Vignazia,##NA##,Karl-Franzens-Universitaet Graz --  Österreich ,2011-10-25,
"<a href=""http://www.romanistik.de/pers/982"">Dr. Albert Göschl</a>",Dr. Albert Göschl,https://online.uni-graz.at/kfu_online/visitenkarte.show_vcard?pPersonenGruppe=3&pPersonenId=A8257FC34A1CCC79,Karl-Franzens-Universität Graz --  Merangasse 70/III 8010 Graz Österreich ,2011-02-02,
"<a href=""http://www.romanistik.de/pers/2373"">Dr. Albert von Brunn</a>",Dr. Albert von Brunn,##NA##,Universität Zürich --  Schweiz ,2012-05-31,
"<a href=""http://www.romanistik.de/pers/98"">Dr. Alexander Kalkhoff</a>",Dr. Alexander Kalkhoff,http://www-cgi.uni-regensburg.de/Fakultaeten/Romanistik/Institut/index.php?id=223,Universität Regensburg --   Regensburg Deutschland ,2010-01-21,
"<a href=""http://www.romanistik.de/pers/153"">Dr. Alexandra Ortiz Wallner</a>",Dr. Alexandra Ortiz Wallner,http://www.lai.fu-berlin.de/homepages/ortiz_wallner/index.html,Freie Universität Berlin --  Rüdesheimer Str.  54-56  14197 Berlin Deutschland ,2010-03-06,
"<a href=""http://www.romanistik.de/pers/150"">Dr. Álvaro Ceballos Viro</a>",Dr. Álvaro Ceballos Viro,##NA##,Université de Liège --  Place Cockerill 3/5 4000 Liège Belgien ,2010-03-03,
"<a href=""http://www.romanistik.de/pers/4010"">Dr. Amina  Kropp</a>",Dr. Amina  Kropp,http://www.phil.uni-mannheim.de/romsem/mitarbeiterinnen/sprach_medienwissenschaft/kropp_amina_dr/index.html,Universität Mannheim --  L 15 1-6 68131 Mannheim Deutschland ,2014-07-13,
"<a href=""http://www.romanistik.de/pers/2335"">Dr. André Horak</a>",Dr. André Horak,http://www.francais.unibe.ch/content/institut/section_de_linguistique/e6879/e6989/index_fra.html,Universität Bern --  Länggassstrasse 49 3012 Bern Schweiz ,2012-05-21,
"<a href=""http://www.romanistik.de/pers/2761"">Dr. André Weber</a>",Dr. André Weber,##NA##,Universität Potsdam --  Am Neuen Palais 10 14469 Potsdam Deutschland ,2012-09-23,
"<a href=""http://www.romanistik.de/pers/2656"">Dr. Andrea Berger</a>",Dr. Andrea Berger,##NA##,Karl-Franzens-Universität Graz --  Österreich ,2012-07-30,
"<a href=""http://www.romanistik.de/pers/1245"">Dr. Andrea Seilheimer</a>",Dr. Andrea Seilheimer,##NA##,##NA## --  Deutschland ,2011-05-06,
"<a href=""http://www.romanistik.de/pers/162"">Dr. Angela Oster</a>",Dr. Angela Oster,http://www.italianistik.uni-muenchen.de/personen/wiss_ma/oster/index.html,Ludwig-Maximilians-Universität München --   München Deutschland ,2010-03-13,
"<a href=""http://www.romanistik.de/pers/3732"">Dr. Angela Weißhaar</a>",Dr. Angela Weißhaar,##NA##,##NA## -- ##NA##,2014-03-01,
"<a href=""http://www.romanistik.de/pers/92"">Dr. Angelo Pagliardini</a>",Dr. Angelo Pagliardini,##NA##,Leopold-Franzens-Universität Innsbruck --  Innrain 52 6020 Innsbruck Österreich ,2010-01-15,
"<a href=""http://www.romanistik.de/pers/79"">Dr. Anja Kauß</a>",Dr. Anja Kauß,##NA##,Uniwersytet Pedagogiczny Kraków --   Kraków Polen ,2010-01-07,
