Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Zeitschriftenredaktion Pandaemonium Germanicum,São Paulo ,Zeitschriftenredaktion Pandaemonium Germanicum,,,,2011-06-23,,
Dr. Juliana  Perez,São Paulo ,Dr. Juliana  Perez,,,,2010-07-17,,
Dr. Katrin Hedwig,Aachen,Dr. Katrin Hedwig,,,,2013-11-02,,
Kerstin Liesegang,Aachen,Kerstin Liesegang,,,,2010-07-03,,
Dr. Melinda Veggian,Aachen,Dr. Melinda Veggian,,,,2012-01-25,,
Dr. Ramona Schröpf,Aachen,Dr. Ramona Schröpf,,,,2011-07-28,,
Prof. Dr. Angelica Rieger,Aachen,Prof. Dr. Angelica Rieger,,,,2011-12-16,,
Janek Scholz,Aachen,Janek Scholz,,,,2014-05-12,,
Anne-Catherine Luther,Aachen,Anne-Catherine Luther,,,,2013-04-07,,
Alexandra Duppé,Aachen,Alexandra Duppé,,,,2010-03-15,,
Lidia Molina,Aachen,Lidia Molina,,,,2014-05-16,,
Dr. Ilka Kressner ,Albany,Dr. Ilka Kressner ,,,,2009-12-04,,
Prof. Dr. Georg Pichler,Alcalá de Henares,Prof. Dr. Georg Pichler,,,,2013-01-02,,
Dr. Frank Jablonka,Amiens,Dr. Frank Jablonka,,,,2013-02-11,,
Prof. Dr. Rita  De Maeseneer,Antwerp,Prof. Dr. Rita  De Maeseneer,,,,2010-07-29,,
Facundo Saxe,Argentinien,Facundo Saxe,,,,2011-06-28,,
PD Dr. Henning Teschke,Augsburg,PD Dr. Henning Teschke,,,,2010-10-26,,
Prof. Dr. Hanno Ehrlicher,Augsburg,Prof. Dr. Hanno Ehrlicher,,,,2012-11-27,,
Dr. Nanette Rißler-Pipka,Augsburg,Dr. Nanette Rißler-Pipka,,,,2010-01-25,,
PD Dr. Thomas Stauder,Augsburg,PD Dr. Thomas Stauder,,,,2014-03-25,,
Eva Rothenberger,Augsburg,Eva Rothenberger,,,,2012-11-05,,
Simone Baum,Augsburg,Simone Baum,,,,2014-05-19,,
Ramona Herz,Augsburg,Ramona Herz,,,,2012-11-01,,
Dr. Tilman Schröder,Augsburg,Dr. Tilman Schröder,,,,2012-11-22,,
Katharina Gerhalter,Austria,Katharina Gerhalter,,,,2014-07-28,,
Bernhard Haidacher,Austria,Bernhard Haidacher,,,,2010-07-15,,
María del Carmen Luis Gironés,Bad Hersfeld,María del Carmen Luis Gironés,,,,2014-08-27,,
Prof. Dr. Dina De Rentiis,Bamberg,Prof. Dr. Dina De Rentiis,,,,2011-02-06,,
Roberto A. Juris,Bamberg,Roberto A. Juris,,,,2011-11-24,,
PD Dr. Philipp Burdy,Bamberg,PD Dr. Philipp Burdy,,,,2013-06-28,,
Prof. Dr. Enrique Rodrigues-Moura,Bamberg,Prof. Dr. Enrique Rodrigues-Moura,,,,2010-04-09,,
Prof. Dr. Martin Haase,Bamberg,Prof. Dr. Martin Haase,,,,2012-12-09,,
PD Dr. Bettina  Full,Bamberg,PD Dr. Bettina  Full,,,,2011-06-08,,
Dr. Katrin Pfadenhauer,Bamberg,Dr. Katrin Pfadenhauer,,,,2011-12-29,,
Prof. Dr. Christine Michler,Bamberg,Prof. Dr. Christine Michler,,,,2009-12-03,,
Hanna Budig,Bamberg,Hanna Budig,,,,2014-02-03,,
Ana Pérez,Bamberg,Ana Pérez,,,,2012-05-31,,
Matthias  Raab,Barcelona,Matthias  Raab,,,,2010-05-26,,
Jenny Brumme,Barcelona,Jenny Brumme,,,,2014-06-18,,
Dr. Hildegard Resinger,Barcelona,Dr. Hildegard Resinger,,,,2012-04-17,,
PD Dr. Giovanna D'Aniello,Bari,PD Dr. Giovanna D'Aniello,,,,2013-02-18,,
Prof. Dr. Harm den Boer,Basel,Prof. Dr. Harm den Boer,,,,2014-03-17,,
Rocío Agar Marco,Basel,Rocío Agar Marco,,,,2014-05-20,,
Dr. Florence Oloff,Basel,Dr. Florence Oloff,,,,2012-01-17,,
Prof. Dr. Martina Drescher,Bayreuth,Prof. Dr. Martina Drescher,,,,2010-11-04,,
Dr. Katrin  Pfadenhauer,Bayreuth,Dr. Katrin  Pfadenhauer,,,,2011-01-10,,
Ricarda Hanck,Bayreuth,Ricarda Hanck,,,,2009-12-03,,
Ivan Vlassenko,Bayreuth,Ivan Vlassenko,,,,2014-04-24,,
Weitere Publikationen,Belo Horizonte,Weitere Publikationen,,,,2010-09-02,,
 Dr. Volker Jaeckel ,Belo Horizonte, Dr. Volker Jaeckel ,,,,2010-04-14,,
Amor Ayala,Berlin,Amor Ayala,,,,2010-08-10,,
Julius Becker,Berlin,Julius Becker,,,,2011-03-23,,
Manuel Parodi Muñoz,Berlin,Manuel Parodi Muñoz,,,,2013-11-08,,
Dr. Patrick Roesler,Berlin,Dr. Patrick Roesler,,,,2010-07-15,,
Ibou Coulibaly Diop,Berlin,Ibou Coulibaly Diop,,,,2010-05-14,,
Catia Russo,Berlin,Catia Russo,,,,2010-05-20,,
