Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Heike Susanne Jauch,Berlin,Heike Susanne Jauch,,,,2011-10-26,,
Sabine Valipour,Berlin,Sabine Valipour,,,,2011-10-28,,
Prof. Dr. Anja  Bandau,Berlin,Prof. Dr. Anja  Bandau,,,,2010-07-27,,
Dr. Igor Candido,Berlin,Dr. Igor Candido,,,,2014-05-05,,
Olivier Moliner,Berlin,Olivier Moliner,,,,2010-02-01,,
Prof. Dr. Margarete Zimmermann,Berlin,Prof. Dr. Margarete Zimmermann,,,,2010-03-17,,
Leonie  Herbers,Berlin,Leonie  Herbers,,,,2011-04-20,,
Yulia Feskova,Berlin,Yulia Feskova,,,,2013-01-14,,
Dr. Christina Schaefer,Berlin,Dr. Christina Schaefer,,,,2013-01-05,,
Dr. Georg Wink,Berlin,Dr. Georg Wink,,,,2012-06-15,,
Dr. Sandra Janßen,Berlin,Dr. Sandra Janßen,,,,2013-09-22,,
Mira Becker,Berlin,Mira Becker,,,,2014-06-24,,
Prof. Dr. Winfried Franz Engler,Berlin,Prof. Dr. Winfried Franz Engler,,,,2012-01-17,,
PD Dr. Bettina Lindorfer,Berlin,PD Dr. Bettina Lindorfer,,,,2012-02-03,,
Prof. Dr. Annette Gerstenberg,Berlin,Prof. Dr. Annette Gerstenberg,,,,2009-11-02,,
Julia Zwink,Berlin,Julia Zwink,,,,2010-06-02,,
PD Dr. Anita Traninger,Berlin,PD Dr. Anita Traninger,,,,2012-10-10,,
Prof. Dr. Ronald Daus,Berlin,Prof. Dr. Ronald Daus,,,,2011-12-03,,
Dr. Alexandra Ortiz Wallner,Berlin,Dr. Alexandra Ortiz Wallner,,,,2010-03-06,,
Prof. Dr. Susanne Klengel,Berlin,Prof. Dr. Susanne Klengel,,,,2010-05-16,,
Prof. Dr. Paul Videsott,Berlin,Prof. Dr. Paul Videsott,,,,2011-11-16,,
Prof. Dr. Rita Franceschini,Berlin,Prof. Dr. Rita Franceschini,,,,2010-03-22,,
Elodie Ripoll,Berlin,Elodie Ripoll,,,,2014-06-20,,
Dr. Katharina Wieland,Berlin,Dr. Katharina Wieland,,,,2010-03-17,,
Dr. Roberto Ubbidiente,Berlin,Dr. Roberto Ubbidiente,,,,2013-09-25,,
Dr. Sylvia Setzkorn,Berlin,Dr. Sylvia Setzkorn,,,,2010-12-23,,
PD Dr. Patrick O. Steinkrüger,Berlin,PD Dr. Patrick O. Steinkrüger,,,,2014-07-24,,
Dr. Yolanda Melgar Pernías,Berlin,Dr. Yolanda Melgar Pernías,,,,2011-11-23,,
Orsolya Thorday,Berlin,Orsolya Thorday,,,,2011-02-18,,
PD Dr. Margot Brink,Berlin,PD Dr. Margot Brink,,,,2011-10-28,,
Dr. Silvia Richter,Berlin,Dr. Silvia Richter,,,,2014-05-16,,
Inga Grantyn,Berlin,Inga Grantyn,,,,2011-06-23,,
PD Dr. Gernot Kamecke,Berlin,PD Dr. Gernot Kamecke,,,,2013-01-04,,
Prof. Dr. Peter Stein,Berlin,Prof. Dr. Peter Stein,,,,2010-11-26,,
Dr. Valeriu P. Stancu,Berlin,Dr. Valeriu P. Stancu,,,,2014-05-19,,
Dr. Friedhelm Schmidt-Welle,Berlin,Dr. Friedhelm Schmidt-Welle,,,,2011-02-01,,
Bernd Tesch ,Berlin,Bernd Tesch ,,,,2009-12-08,,
Dr. Ulrike  Hollender,Berlin,Dr. Ulrike  Hollender,,,,2012-06-29,,
Michele Oum,Berlin,Michele Oum,,,,2011-06-24,,
Anna Taton ,Berlin,Anna Taton ,,,,2011-04-04,,
Olaf Gaudig,Berlin,Olaf Gaudig,,,,2014-06-06,,
Dr. Johanne Mohs,Bern,Dr. Johanne Mohs,,,,2013-12-02,,
Prof. Dr. Elwys De Stefani,Bern,Prof. Dr. Elwys De Stefani,,,,2011-07-08,,
Adrian Stähli,Bern,Adrian Stähli,,,,2011-02-04,,
Prof. Dr. Benedicte Vauthier,Bern,Prof. Dr. Benedicte Vauthier,,,,2011-04-17,,
Dr. André Horak,Bern,Dr. André Horak,,,,2012-05-21,,
Dr. habil. Yvette Bürki,Bern,Dr. habil. Yvette Bürki,,,,2012-04-22,,
Mirjam  Leuzinger,Bern,Mirjam  Leuzinger,,,,2011-12-08,,
Dr. habil. Katja Ploog,Besançon,Dr. habil. Katja Ploog,,,,2010-02-26,,
Silke Neumann,Bochum,Silke Neumann,,,,2010-11-07,,
Daniel  Kallweit,Bochum,Daniel  Kallweit,,,,2010-11-15,,
Maria Piovesana,Bochum,Maria Piovesana,,,,2011-07-04,,
Judith Kittler,Bochum,Judith Kittler,,,,2010-10-18,,
Corinna Koch,Bochum,Corinna Koch,,,,2010-10-22,,
Enrico Serena,Bochum,Enrico Serena,,,,2010-11-26,,
Imma Martí,Bochum,Imma Martí,,,,2011-06-15,,
Victoria del Valle,Bochum,Victoria del Valle,,,,2010-11-17,,
Dr. Carolin Patzelt,Bochum,Dr. Carolin Patzelt,,,,2011-03-15,,
Ina Riesel,Bochum,Ina Riesel,,,,2010-01-23,,
Prof. Dr. Roger Friedlein,Bochum,Prof. Dr. Roger Friedlein,,,,2013-12-05,,
Dr. Xenia von Tippelskirch,Bochum,Dr. Xenia von Tippelskirch,,,,2011-12-09,,
Dr. Marie Guthmueller,Bochum,Dr. Marie Guthmueller,,,,2011-06-26,,
Dr. Marco Thomas Bosshard,Bochum,Dr. Marco Thomas Bosshard,,,,2013-06-21,,
Dirk Brunke,Bochum,Dirk Brunke,,,,2013-02-06,,
Cynthia  Carggiolis Abarza,Bochum,Cynthia  Carggiolis Abarza,,,,2010-11-22,,
PD Dr. Ursula Jung,Bochum,PD Dr. Ursula Jung,,,,2010-10-29,,
Frank Günther-Spohr,Bochum,Frank Günther-Spohr,,,,2010-04-20,,
Corinna Albert,Bochum,Corinna Albert,,,,2013-02-06,,
Dr. Luca Laurenti Di Biasio,Bolzano,Dr. Luca Laurenti Di Biasio,,,,2010-10-11,,
Prof. Dr. Michael Bernsen,Bonn,Prof. Dr. Michael Bernsen,,,,2011-09-16,,
Herrad Schmidt,Bonn,Herrad Schmidt,,,,2011-01-04,,
Claudia Sofie Schmitz,Bonn,Claudia Sofie Schmitz,,,,2014-08-18,,
PD Dr. Ludger Scherer,Bonn,PD Dr. Ludger Scherer,,,,2013-10-24,,
Dr. Marco Menicacci,Bonn,Dr. Marco Menicacci,,,,2012-11-25,,
Dr. Willi Jung,Bonn,Dr. Willi Jung,,,,2013-10-28,,
Prof. Dr. Daniela Pirazzini,Bonn,Prof. Dr. Daniela Pirazzini,,,,2012-01-16,,
Roland Alexander Ißler,Bonn,Roland Alexander Ißler,,,,2009-12-07,,
Prof. Dr. Franz Lebsanft,Bonn,Prof. Dr. Franz Lebsanft,,,,2012-05-07,,
Dr. Grazyna Bosy,Bonn,Dr. Grazyna Bosy,,,,2011-03-14,,
Prof. Dr. Paul Geyer,Bonn,Prof. Dr. Paul Geyer,,,,2013-06-10,,
PD Dr. Claudia  Jünke,Bonn,PD Dr. Claudia  Jünke,,,,2012-03-02,,
Dr. Doris Grüter,Bonn,Dr. Doris Grüter,,,,2014-07-10,,
Milan Herold,Bonn,Milan Herold,,,,2011-11-09,,
Elmar Schmidt,Bonn,Elmar Schmidt,,,,2014-08-17,,
Dr. Giorgia Sogos,Bonn,Dr. Giorgia Sogos,,,,2013-06-30,,
Sevrine Ketterer,Bonn,Sevrine Ketterer,,,,2013-10-01,,
PD Dr. Kirsten von Hagen,Bonn,PD Dr. Kirsten von Hagen,,,,2012-08-06,,
Christian Reidenbach,Bonn,Christian Reidenbach,,,,2010-06-17,,
Prof. Dr. Rogério  Vicente Ferreira,Brasil,Prof. Dr. Rogério  Vicente Ferreira,,,,2012-10-11,,
Livia Meneghello,Brasil,Livia Meneghello,,,,2010-02-08,,
Vera Toro,Bremen,Vera Toro,,,,2010-05-03,,
Dr. Elke Richter,Bremen,Dr. Elke Richter,,,,2009-12-03,,
Dr. Karen Struve,Bremen,Dr. Karen Struve,,,,2009-12-01,,
Dr. Claire Block,Bremen,Dr. Claire Block,,,,2014-09-10,,
PD Dr. Natascha Ueckmann,Bremen,PD Dr. Natascha Ueckmann,,,,2013-03-16,,
Marlena Teitge,Bremen,Marlena Teitge,,,,2014-03-04,,
Zuzana Pesselová,Bremen,Zuzana Pesselová,,,,2010-06-28,,
Prof. Dr. Sabine Schlickers,Bremen,Prof. Dr. Sabine Schlickers,,,,2014-01-05,,
Dr. Peter Gaida,Bremen,Dr. Peter Gaida,,,,2011-10-31,,
Prof. Dr. Axel Schönberger,Bremen,Prof. Dr. Axel Schönberger,,,,2009-12-25,,
 Dr. Peter W.  Schulze,Bremen, Dr. Peter W.  Schulze,,,,2014-03-03,,
Dr. Trinidad Marín Villora,Breslau,Dr. Trinidad Marín Villora,,,,2014-01-24,,
Dr. Lucie  Taïeb,Brest,Dr. Lucie  Taïeb,,,,2012-01-30,,
Dr. habil. Günter Berghaus,Bristol,Dr. habil. Günter Berghaus,,,,2012-05-08,,
Prof. Dr. Wendy Ayres-Bennett,Cambridge,Prof. Dr. Wendy Ayres-Bennett,,,,2012-01-22,,
Dr. May  Bletz,Canada,Dr. May  Bletz,,,,2010-10-12,,
Dr. Tilmann Altenberg,Cardiff,Dr. Tilmann Altenberg,,,,2011-06-13,,
Dr. Kim Schulte ,Castellón,Dr. Kim Schulte ,,,,2014-01-09,,
Dr. Katrin  Schmeissner,Chemnitz,Dr. Katrin  Schmeissner,,,,2010-11-08,,
Martin Bauch,Chemnitz,Martin Bauch,,,,2010-11-12,,
Prof. Dr. Teresa Pinheiro,Chemnitz,Prof. Dr. Teresa Pinheiro,,,,2010-10-15,,
Corinne Bayerl,Chicago,Corinne Bayerl,,,,2009-12-02,,
Prof. Dr. Kay Gonzalez-Vilbazo,Chicago,Prof. Dr. Kay Gonzalez-Vilbazo,,,,2014-03-03,,
Dr. Hans Christian Hagedorn ,Ciudad Real,Dr. Hans Christian Hagedorn ,,,,2012-02-24,,
Apl. Prof. Marta Estévez Pequeño,Coimbra,Apl. Prof. Marta Estévez Pequeño,,,,2012-06-01,,
Prof. Dr. Olga Hinojosa,Córdoba,Prof. Dr. Olga Hinojosa,,,,2011-12-31,,
Prof. Dr. M. Carmen Balbuena Torezano,Córdoba,Prof. Dr. M. Carmen Balbuena Torezano,,,,2010-12-07,,
Dr. Teresa Staudacher,Langeroog,Dr. Teresa Staudacher,,,,2014-01-09,,
Valéry-Jérôme Michaux,Langeroog,Valéry-Jérôme Michaux,,,,2014-05-06,,
Stephanie Pretsch,Langeroog,Stephanie Pretsch,,,,2014-03-24,,
Dr. Caroline Surmann,Langeroog,Dr. Caroline Surmann,,,,2012-09-16,,
Edith Roth,Langeroog,Edith Roth,,,,2010-12-12,,
Cristina Cabrera,Langeroog,Cristina Cabrera,,,,2010-06-08,,
Judith Kolmstetter,Langeroog,Judith Kolmstetter,,,,2014-08-27,,
Daniel Souza,Langeroog,Daniel Souza,,,,2010-05-17,,
Dr. Hélène Stoye,Langeroog,Dr. Hélène Stoye,,,,2013-11-02,,
Academics.de www.academics.de,Langeroog,Academics.de www.academics.de,,,,2014-03-13,,
Britta von Eitzen ,Langeroog,Britta von Eitzen ,,,,2012-02-11,,
Sabina Hamm,Langeroog,Sabina Hamm,,,,2011-05-20,,
Dr. Eizeth Isabel Sandoval Torres,Langeroog,Dr. Eizeth Isabel Sandoval Torres,,,,2014-03-17,,
Christiane  Ebner,Langeroog,Christiane  Ebner,,,,2012-09-16,,
Ana Maria Ferri,Langeroog,Ana Maria Ferri,,,,2014-03-04,,
Josefa Díaz,Langeroog,Josefa Díaz,,,,2012-11-14,,
PD Dr. Grazia Dolores Folliero-Metz,Langeroog,PD Dr. Grazia Dolores Folliero-Metz,,,,2014-07-29,,
Dr. Andrea Seilheimer,Langeroog,Dr. Andrea Seilheimer,,,,2011-05-06,,
 Aristhide Nyamsi,Langeroog, Aristhide Nyamsi,,,,2013-05-10,,
Joao Silva,Langeroog,Joao Silva,,,,2012-07-23,,
Redaktion romanistik.de,Langeroog,Redaktion romanistik.de,,,,2010-10-04,,
Simone Rothe,Langeroog,Simone Rothe,,,,2010-01-25,,
Dr. Martin Strickmann,Langeroog,Dr. Martin Strickmann,,,,2013-10-10,,
Dr. Christian Wille,Langeroog,Dr. Christian Wille,,,,2012-07-01,,
Rocio Cano,Langeroog,Rocio Cano,,,,2010-05-31,,
Frank-Michael Weiß,Langeroog,Frank-Michael Weiß,,,,2014-07-31,,
Carmen Vidal,Langeroog,Carmen Vidal,,,,2012-01-17,,
Yara Katayama,Langeroog,Yara Katayama,,,,2013-09-02,,
Lisa Gronwald,Langeroog,Lisa Gronwald,,,,2011-09-29,,
Dr. Pier Paolo Tazza,Langeroog,Dr. Pier Paolo Tazza,,,,2014-03-18,,
Sylk Schneider,Langeroog,Sylk Schneider,,,,2010-06-24,,
Paolo Ferrone,Langeroog,Paolo Ferrone,,,,2010-03-02,,
Fabio Nogueira,Langeroog,Fabio Nogueira,,,,2014-03-03,,
M Butzheinen,Langeroog,M Butzheinen,,,,2014-06-26,,
María Arribas,Langeroog,María Arribas,,,,2012-07-05,,
Dr. Eva Maria Kluth,Langeroog,Dr. Eva Maria Kluth,,,,2011-02-26,,
Prof. Dr. Raymund Wilhelm,Langeroog,Prof. Dr. Raymund Wilhelm,,,,2014-02-18,,
PD Dr. Novella Di Nunzio,Langeroog,PD Dr. Novella Di Nunzio,,,,2013-05-22,,
Dr. Ute Barbara Schilly,Langeroog,Dr. Ute Barbara Schilly,,,,2009-12-08,,
Mario Schimanski,Langeroog,Mario Schimanski,,,,2013-09-04,,
Robert Beck,Langeroog,Robert Beck,,,,2014-03-25,,
Géraldine Desmarchelier,Langeroog,Géraldine Desmarchelier,,,,2014-04-02,,
Katarina  Rempe,Langeroog,Katarina  Rempe,,,,2014-03-08,,
Sekretariat  Fremdsprachendidaktiken,Langeroog,Sekretariat  Fremdsprachendidaktiken,,,,2014-08-12,,
Silvia Eunice Gutiérrez De la Torre,Langeroog,Silvia Eunice Gutiérrez De la Torre,,,,2014-03-06,,
Dr. David Schidlowsky,Langeroog,Dr. David Schidlowsky,,,,2014-07-07,,
Susanne Zieglmeier,Langeroog,Susanne Zieglmeier,,,,2014-08-13,,
Dr. Beate Weghofer,Langeroog,Dr. Beate Weghofer,,,,2010-10-28,,
Dr. habil. Rita  Unfer Lukoschik,Langeroog,Dr. habil. Rita  Unfer Lukoschik,,,,2011-01-28,,
Dr. Hanna Milling,Langeroog,Dr. Hanna Milling,,,,2010-01-30,,
Caterina Sala,Langeroog,Caterina Sala,,,,2014-03-07,,
Emmanuel Faure,Langeroog,Emmanuel Faure,,,,2014-03-03,,
Isabel Exner,Langeroog,Isabel Exner,,,,2014-04-26,,
Dr. Patricia Bigdely,Langeroog,Dr. Patricia Bigdely,,,,2014-03-31,,
María Isabel Hernández del Rincón,Langeroog,María Isabel Hernández del Rincón,,,,2014-02-28,,
Maite Martín G.,Langeroog,Maite Martín G.,,,,2011-06-01,,
Dr. Lidia Cámara,Langeroog,Dr. Lidia Cámara,,,,2011-02-16,,
Dr. Aclay Asutay,Langeroog,Dr. Aclay Asutay,,,,2010-02-13,,
Madalina Simona  Schwarz,Langeroog,Madalina Simona  Schwarz,,,,2013-05-10,,
Prof. Dr. Gerald Ford,Langeroog,Prof. Dr. Gerald Ford,,,,2011-08-04,,
Cornelius Griep,Langeroog,Cornelius Griep,,,,2011-05-04,,
Julie  Behrman Ortegon,Langeroog,Julie  Behrman Ortegon,,,,2012-05-14,,
Elena Avrasina,Langeroog,Elena Avrasina,,,,2011-03-09,,
Andrea  Wurdak,Langeroog,Andrea  Wurdak,,,,2010-12-16,,
Dr. Gilca Seidinger,Langeroog,Dr. Gilca Seidinger,,,,2013-01-05,,
Sebastian Lauschus,Langeroog,Sebastian Lauschus,,,,2014-04-11,,
David Rusek,Langeroog,David Rusek,,,,2011-07-09,,
Haimo  Stiemer,Langeroog,Haimo  Stiemer,,,,2014-07-08,,
Maureen Grönke,Langeroog,Maureen Grönke,,,,2011-12-02,,
Virginie Ransinan,Langeroog,Virginie Ransinan,,,,2014-03-11,,
Estella Llorente,Langeroog,Estella Llorente,,,,2011-01-31,,
Dr. Stephanie Fleischmann,Langeroog,Dr. Stephanie Fleischmann,,,,2013-07-09,,
Laura Bally,Langeroog,Laura Bally,,,,2011-11-16,,
Dr. Corinna Manuela Kirstein,Langeroog,Dr. Corinna Manuela Kirstein,,,,2013-02-09,,
Nadine Alexander,Langeroog,Nadine Alexander,,,,2011-08-24,,
Dr. Werner Müller-Pelzer,Dortmund,Dr. Werner Müller-Pelzer,,,,2011-09-20,,
Antonella Ruggieri,Dresden,Antonella Ruggieri,,,,2011-04-21,,
Dr. Christoph Mayer,Dresden,Dr. Christoph Mayer,,,,2011-10-17,,
Galina Putjata,Dresden,Galina Putjata,,,,2012-04-04,,
Prof. Dr. Maria Lieber,Dresden,Prof. Dr. Maria Lieber,,,,2011-02-06,,
Prof. Dr. Ingo  Kolboom,Dresden,Prof. Dr. Ingo  Kolboom,,,,2013-01-06,,
Prof. Dr. Roswitha Böhm,Dresden,Prof. Dr. Roswitha Böhm,,,,2010-02-12,,
Pauline Moret-Jankus,Durham,Pauline Moret-Jankus,,,,2014-02-28,,
Dr. Rebecca Ferreboeuf,Durham,Dr. Rebecca Ferreboeuf,,,,2013-01-21,,
Prof. Dr. Fernand Hörner,Düsseldorf,Prof. Dr. Fernand Hörner,,,,2010-02-03,,
Prof. Dr. Vittoria  Borsò,Düsseldorf,Prof. Dr. Vittoria  Borsò,,,,2013-10-17,,
Réka Török,Düsseldorf,Réka Török,,,,2010-06-16,,
Dr. Anne Schülke,Düsseldorf,Dr. Anne Schülke,,,,2014-05-09,,
Katrin Goldenstein,Düsseldorf,Katrin Goldenstein,,,,2010-07-15,,
Prof. Dr. Fritz Nies,Düsseldorf,Prof. Dr. Fritz Nies,,,,2013-09-25,,
Sarah Gröning,Düsseldorf,Sarah Gröning,,,,2012-07-18,,
Karolin Viseneber,Düsseldorf,Karolin Viseneber,,,,2009-12-18,,
Dr. Vera Elisabeth Gerling,Düsseldorf,Dr. Vera Elisabeth Gerling,,,,2012-09-21,,
Dr. Yasmin  Temelli,Düsseldorf,Dr. Yasmin  Temelli,,,,2013-02-07,,
Prof. Dr. Elmar Schafroth,Düsseldorf,Prof. Dr. Elmar Schafroth,,,,2012-07-08,,
Niklas Gutjahr,Düsseldorf,Niklas Gutjahr,,,,2013-02-07,,
PD Dr. Sonja Maria Steckbauer,Eichstätt,PD Dr. Sonja Maria Steckbauer,,,,2009-12-28,,
Dorothea Kraus,Eichstätt,Dorothea Kraus,,,,2009-12-09,,
Martine Kowalski-Bellet,Eichstätt,Martine Kowalski-Bellet,,,,2014-04-27,,
Yahya Kouroshi,Erfurt,Yahya Kouroshi,,,,2011-09-22,,
Prof. Dr. Jörg Dünne,Erfurt,Prof. Dr. Jörg Dünne,,,,2009-10-24,,
Kathrin Fehringer,Erfurt,Kathrin Fehringer,,,,2011-02-10,,
Ninon Franziska Thiem,Erfurt,Ninon Franziska Thiem,,,,2009-11-01,,
Paula Valeria Fernández Blanco ,Erfurt,Paula Valeria Fernández Blanco ,,,,2014-03-14,,
Prof. Dr. Andrea Pagni,Erlangen,Prof. Dr. Andrea Pagni,,,,2014-08-11,,
Dr. Teresa Hiergeist,Erlangen,Dr. Teresa Hiergeist,,,,2014-08-13,,
Dr. Monica Biasiolo,Erlangen,Dr. Monica Biasiolo,,,,2013-06-06,,
PD Dr. Annette Keilhauer,Erlangen,PD Dr. Annette Keilhauer,,,,2010-06-06,,
PD Dr. Christian Rivoletti,Erlangen,PD Dr. Christian Rivoletti,,,,2011-07-12,,
Prof. Dr. Helmut C. Jacobs,Essen,Prof. Dr. Helmut C. Jacobs,,,,2012-08-13,,
Cecile Croze,Essen,Cecile Croze,,,,2014-04-06,,
Dr. Nina Preyer,Essen,Dr. Nina Preyer,,,,2011-03-04,,
Dr. Rosamna Pardellas Velay,Essen,Dr. Rosamna Pardellas Velay,,,,2012-02-01,,
Sina Saafi,Essen,Sina Saafi,,,,2013-01-24,,
Prof. Dr. Dietmar Osthus,Essen,Prof. Dr. Dietmar Osthus,,,,2011-07-05,,
Prof. Dr. Daniel Reimann,Essen,Prof. Dr. Daniel Reimann,,,,2009-12-23,,
Mark Klingenberger,Essen,Mark Klingenberger,,,,2012-09-25,,
Anne Seitz,France,Anne Seitz,,,,2014-03-07,,
Maurella Carbone,Frankfurt am Main,Maurella Carbone,,,,2012-01-13,,
Petra Noack,Frankfurt am Main,Petra Noack,,,,2010-01-08,,
Marggie Victoria Monsalve,Frankfurt am Main,Marggie Victoria Monsalve,,,,2014-08-06,,
Prof. Dr. Gerhard  Wild,Frankfurt am Main,Prof. Dr. Gerhard  Wild,,,,2012-09-24,,
Dr. Kathrina Reschka,Frankfurt am Main,Dr. Kathrina Reschka,,,,2013-01-04,,
Dr. Ingo Feldhausen,Frankfurt am Main,Dr. Ingo Feldhausen,,,,2010-11-26,,
Maria Amelina,Frankfurt am Main,Maria Amelina,,,,2011-02-13,,
Katja Priebe,Frankfurt am Main,Katja Priebe,,,,2011-07-05,,
Andrea  Gremels,Frankfurt am Main,Andrea  Gremels,,,,2010-12-09,,
Anna-Christine Weirich,Frankfurt am Main,Anna-Christine Weirich,,,,2010-12-16,,
Dr. Jochen Strathmann,Frankfurt am Main,Dr. Jochen Strathmann,,,,2010-05-14,,
Tobias Berneiser,Frankfurt am Main,Tobias Berneiser,,,,2014-06-27,,
Tatjana  Leichsering,Frankfurt am Main,Tatjana  Leichsering,,,,2010-12-14,,
Dr. Regina Schleicher,Frankfurt am Main,Dr. Regina Schleicher,,,,2009-11-15,,
Rebecca Aschenberg,Frankfurt am Main,Rebecca Aschenberg,,,,2010-09-30,,
Eva Ares,Frankfurt am Main,Eva Ares,,,,2010-05-06,,
Dr. Anne Wigger,Frankfurt am Main,Dr. Anne Wigger,,,,2010-09-29,,
Beatrice Vervuert,Frankfurt am Main,Beatrice Vervuert,,,,2009-12-21,,
Dr. Pablo Valdivia Orozco,Frankfurt an der Oder,Dr. Pablo Valdivia Orozco,,,,2012-01-05,,
Dr. Henning Hufnagel,Freiburg,Dr. Henning Hufnagel,,,,2010-01-25,,
Jennifer Gabel,Freiburg,Jennifer Gabel,,,,2010-02-08,,
Dr. Claus D. Pusch,Freiburg,Dr. Claus D. Pusch,,,,2011-03-09,,
Prof. Dr. Thomas Klinkert,Freiburg,Prof. Dr. Thomas Klinkert,,,,2010-10-23,,
Dr. Ulrich Farrenkopf,Freiburg,Dr. Ulrich Farrenkopf,,,,2011-05-15,,
