Name,website,univ--address
Dr. Rita Rieger,##NA##,Karl-Franzens-Universität Graz --  Merangasse  70 8010 Graz Österreich 
Prof. Dr. Filippo Fonio,##NA##,##NA## -- ##NA##
Prof. Dr. Johannes Kabatek,www.kabatek.de,Universität Zürich --  Zürichbergstr.  8 CH-8032 Zürich Schweiz 
Werner Altmann,##NA##,##NA## -- ##NA##
Dr. Daniela Pietrini,http://www.uni-heidelberg.de/rose/personen/pietrini.html,Ruprecht-Karls-Universität Heidelberg --  Seminarstr. 3 69117 Heidelberg Deutschland 
Prof. Dr. Elisabeth Burr,http://www.uni-leipzig.de/~burr/,Universität Leipzig --  Beethovenstraße 15 04107 Leipzig Deutschland 
Karin  Otte,##NA##,##NA## -- ##NA##
Dr. Konstanze Baron,##NA##,##NA## -- ##NA##
Anna-Christine Weirich,http://www.romanistik.uni-frankfurt.de/mitarbeiter/Weirich/index.html,Goethe-Universität Frankfurt am Main --   Frankfurt Deutschland 
Prof. Dr. Henry Thorau,##NA##,Universität Trier --  Deutschland 
Julie Dekens,http://www.rose.uzh.ch/seminar/personen/dekens.html,Universität Zürich --  Zürichbergstrasse 8 8032 Zürich Schweiz 
Dr. Regina Schleicher,##NA##,Goethe-Universität Frankfurt am Main --  Grüneburgplatz  1 60322 Frankfurt/M. Deutschland 
Ruben Nicotera,##NA##,##NA## -- ##NA##
Dr. Magdalena Mancas,http://www.phil.uni-passau.de/lehrstuehle-und-professuren/prof-dr-manfred-hinz.html,Universität Passau --  Innstraße 25 94032 Passau Deutschland 
Dr. Kristin Eichhorn,##NA##,##NA## -- ##NA##
M Butzheinen,##NA##,##NA## --  Deutschland 
Dr. Florian Schmid,##NA##,##NA## -- ##NA##
Dr. Diego Bertelli ,http://www.yale.edu/italian/people/bertelli.html,"	Yale University --  Wall Street 82-90 06510 New Haven, CT Vereinigte Staaten "
Prof. Dr. Jörn  Steigerwald,http://kw.uni-paderborn.de/institute-einrichtungen/institut-fuer-germanistik-und-vergleichende-literaturwissenschaft/komparatistik/personal/steigerwald/,Universität Paderborn --  Warburger Straße 100 33098 Paderborn Deutschland 
PD Dr. Niklas Bender,http://homepages.uni-tuebingen.de/niklas.bender/,Universität Koblenz-Landau --  Marktstraße 40 76829 Landau Deutschland 
María Arribas,##NA##,##NA## --  Deutschland 
Dr. Caroline Mannweiler,##NA##,Johannes Gutenberg Universität Mainz --  Jakob-Welder-Weg 18 55099 Mainz Deutschland 
Carolina Caballero,##NA##,##NA## -- ##NA##
Dr. Jochen Strathmann,http://www.jochen-strathmann.de,Goethe-Universität Frankfurt am Main --  Deutschland 
Dr. habil. Ferran Robles Sabater,##NA##,Universitat de València --  Blasco Ibáñez 32 46010 Valencia Spanien 
PD Dr. Giovanna D'Aniello,##NA##,Università degli Studi di Bari --  Italien 
