id;datum;kategorie;bereich;sprachen;disziplinen;titel
rom2297;01.04.2009;kaST;beNW;spES;dzSP;Lektorat Spanisch
rom2616;01.04.2010;kaWI;beBIB;spES;dzLW;Portal New Spanish Books
rom3454;01.04.2010;kaWI;beAM;spIT;dzSW;Wie spricht Italien? Ein klingender Sprachatlas im Internet öffnet uns die Ohren
rom3340;01.04.2011;kaST;bePR;spES spWR;dzDK;W1-Professur: Didaktik der Romanischen Sprachen und Literaturen (Schwerpunkt Spanisch)
rom0893;01.04.2011;kaTA;beTA;spIT;dzLW dzMK;CfP: Infanzia Violenza Esilio ed Immigrazione italiana. Italia Francia Germania – 1939-1979 / Enfance Violence Exil et Immigration italienne. Italie France Allemagne 1939-1979
rom2944;01.04.2011;kaTA;beTA;spFR spIT spPT spES spWR;dzLW dzSW dzMK;Sommerschule «Variante und Varietät»
rom0091;01.04.2011;kaTA;beTP;spIT;dzLW dzSW dzMK dzDK;150 Jahre italienische Einheit
rom2677;01.04.2011;kaST;bePR;spPT spES;dzMK;Profesor/a (Extraordinariat) de Historia y Culturas Latinoamericanas / Außerordentliche Professur für Geschichte und Kulturen Lateinamerikas
rom2234;01.04.2011;kaST;beWS;spES;dzSP;Lehrkraft für besondere Aufgaben (Spanisch zum 01.10.2011)
rom0577;01.04.2011;kaTA;beTA;spÜG;dzSW dzMK;CfP: Bridging Disciplines: Evolution and Classification in Biology Linguistics and the History of Science
rom1541;01.04.2012;kaWI;beAM;spES;dzSP;Erster Siegener Spanischlehrertag 2012: So ein Theater
rom1629;01.05.2008;kaTA;beTP;spFR spIT spPT spES spWR spÜG;dzLW dzSW dzMK;Forum Junge Romanistik 2008: »Zeichen setzen - Konvention Kreativität Interpretation«
rom1183;01.05.2011;kaTA;beTA;spIT;dzLW dzMK dzWT;CfP: Summer School Le dimensioni della storia Trento
rom1648;01.05.2011;kaTA;beSV;spIT;dzLW dzSW dzMK;Fratelli d'Italia. Stimmen zur Einheit und Uneinigkeit Italiens (Vortragsreihe)
rom1580;01.05.2011;kaST;beSTI;spÜG;dzLW dzSW dzMK dzWT;Fellowships Interdisciplinary humanities and culture studies IFK
rom1942;01.05.2011;kaTA;beTP;spFR;dzMK dzWT;Centenaire de la constitution de 1911 de l'Alsace Lorraine - Strasbourg 05/11
rom1258;01.05.2012;kaTA;beTA;spÜG;dzLW dzSW dzMK dzWT;CfP: Workshop Discursive Crossings: Subversion and Affirmation of Power Relations
rom1773;01.05.2013;kaTA;beTP;spIT;dzLW;Il Convivio - Dantes Radikaler Neuanfang im Exil
rom0211;01.06.2008;kaTA;beTP;spFR;dzSW;3es Journées allemandes des dictionnaires
rom1789;01.06.2009;kaTA;beTP;spFR spIT spPT spES spWR;dzLW dzSW dzMK;Int. Kongress: V. Dies Romanicus Turicensis Anachronismen
rom0265;01.06.2009;kaTA;beTA;spFR;dzLW dzSW dzMK dzSP dzDK;[Verlängerte Frist] 7. Kongress des Frankoromanistenverbands in Essen: „Stadt – Kultur – Raum“ - Bitte um Einreichung von Sektionsvorschlägen
rom1269;01.06.2010;kaTA;beTA;spPT spES spWR spÜG;dzLW dzSW dzMK dzWT;CfP: XVI. Internationaler Kongress der AHILA - San Fernando Cádiz/Spanien 09/11
rom1438;01.06.2010;kaST;beWS;spIT spÜG;dzMK dzWT;Direktor/in des Deutschen Historischen Instituts Rom der Stiftung Deutsche Geisteswissenschaftliche Institute im Ausland (DGIA)
rom2680;01.06.2011;kaST;bePR;spFR;dzLW;Professeur en théorie de la littérature française et francophone
rom2381;01.06.2011;kaWI;beAM;spFR;dzLW; Literarischer Abend zum Thema Claude Simon lesen mit Brigitte Burmeister
rom3578;01.06.2011;kaST;beWS;spFR spWR;dzLW dzMK;Wissenschaftliche/n Mitarbeiterin/Mitarbeiter 50% (Schwerpunkt französische Literatur- und Kulturwissenschaft)
rom2916;01.06.2011;kaST;beWS;spÜG;dzLW dzMK;Senior Research Fellowships: 'Literature in European Languages including English (after 500 AD)'
rom3076;01.06.2011;kaST;beWS;spFR;dzLW dzMK dzSP;Teaching Fellow in French
rom0214;01.06.2011;kaST;beSTI;spÜG;dzLW dzSW;4 Doktorandenstipendien: LiLi-Kolleg (Linguistik und Literaturwissenschaft)
rom3280;01.06.2011;kaST;beWS;spÜG;dzLW dzSW dzMK;Visiting Fellowships 2012-2013
rom2501;01.06.2011;kaWI;beAM;spÜG;dzLW dzSW dzMK dzDK;Nachwuchswissenschaftler/in des Jahres 2011
rom2664;01.06.2011;kaWI;beAM;spÜG;dzLW dzSW dzMK dzDK;Preis des Deutschen Hochschulverbandes: Hochschullehrer des Jahres
rom0592;01.06.2011;kaWI;beAM;spÜG;dzLW dzSW dzMK dzDK;Call for Nomination: The Holberg International Memorial Prize 2012
rom3579;01.06.2011;kaST;beWS;spÜG;dzMK;Wissenschaftlichen Mitarbeiterin/Mitarbeiters: Theorie und Geschichte der Populären Kultur
rom0542;01.06.2011;kaTA;beSV;spÜG;dzMK dzWT;Bewerbungsfrist für DAAD-Sommerakademie 'Kulturkontakte' verlängert
rom1699;01.06.2011;kaST;beNW;spÜG;dzSP;Geschäftsführerin/Geschäftsführers des Sprachenzentrums
rom0770;01.06.2012;kaTA;beTA;spÜG;dzLW dzMK;CfP: Crossing Thresholds: Decoloniality and Gender in Caribbean Knowledge
rom0687;01.06.2012;kaTA;beTA;spÜG;dzSW dzMK dzDK;CfP: 4.Bremer Symposion: Fremdsprachliche Lernprozesse
rom0635;01.06.2013;kaTA;beTA;spÜG;dzLW dzMK;CfA: Kulturen &amp Technologien - Europäische Sommeruniversität in Digitalen Geisteswissenschaften
rom2520;01.07.2009;kaWI;beSTU;spÜG;dzLW;Neuer interdisziplinärer Master-Studiengang Transnationale Literaturwissenschaft. Literatur Theater Film
rom2254;01.07.2009;kaST;beWS;spFR spES;dzSW;Lehrkraft für besondere Aufgaben (Sprachwissenschaft Französisch Spanisch)
rom3014;01.07.2010;kaTA;beTBE;spFR spIT spPT spES spWR spÜG;dzLW dzMK;Strategien von Autorschaft in der Romania
rom2903;01.07.2011;kaST;beWS;spES;dzMK dzSP;Senior Lecturer 50% (Landeskunde Spanisch)
rom2920;01.07.2011;kaTA;beSV;spIT;dzMK dzWT;Serata Risorgimentale - Feier zum 150. Jahrestag der Einheit Italiens - Celebrazione del 150° anniversario dell’Unità d’Italia
rom2904;01.07.2011;kaST;beWS;spES;dzSP;Senior Lecturer 50 % (Sprachpraxis Spanisch)
rom2709;01.07.2011;kaST;bePR;spES spÜG;dzSP dzDK dzWT;Professur für Interkulturelle Wirtschaftskommunikation (Spanisch u.a.)
rom0517;01.07.2013;kaWI;beSTU;spFR spIT spÜG;dzLW dzMK;Ausschreibung von Promotionsstellen im Internationalen Graduiertenkolleg «Gründungsmythen Europas in Literatur Kunst und Musik»
rom2374;01.07.2013;kaTA;beTP;spFR spÜG;dzLW dzSW;L'hyperbole rhétorique
rom2907;01.07.2013;kaST;beWS;spFR;dzMK dzSP;Senior Lecturer (Französisch)
rom2912;01.07.2013;kaST;beWS;spIT;dzMK dzSP;Senior Lecturer (Italienisch)
rom0755;01.07.2013;kaTA;beTA;spFR;dzSW;CfP: Congrès Mondial de Linguistique Française 2014
rom1087;01.08.2010;kaTA;beTA;spES;dzLW dzMK;CfP: Sección en marco del 18. Congreso de la Asociación Alemana de Hispanistas: De la realidad a la representación y viceversa: narrativas del crimen en la literatura y el cine latinoamericanos
rom2152;01.08.2011;kaST;beWS;spFR;dzSP;Lehrkraft für besondere Aufgaben Französisch 50%
rom1151;01.08.2012;kaTA;beTA;spFR spIT spPT spES spWR spÜG;dzSW;CfP: Sektion Zustandsveränderung Romanistentag Würzburg 2013
rom1088;01.08.2012;kaTA;beTA;spPT spES spÜG;dzSW;CfP: Sección: La investigación histórica y la historia de la lengua: Español y portugués en contacto con otras lenguas XIX Congreso de la Asociación Alemana de Hispanistas
rom0238;01.08.2012;kaST;beSTI;spFR spIT spÜG;dzSW dzWT;5 Promotionsstipendien Sprachkritik als Gesellschaftskritik im europäischen Vergleich
rom0652;01.08.2013;kaTA;beTA;spFR spES spÜG;dzLW dzMK;CfA: Transnational Approaches to North American Regionalism
rom2180;01.08.2013;kaST;beWS;spIT;dzSP;Lehrkraft für besondere Aufgaben für Italienisch
rom2740;01.08.2013;kaST;bePR;spFR spPT spES;dzSW;Professur (W 3) für Romanische Philologie (Sprachwissenschaft)
rom2196;01.08.2013;kaST;beWS;spÜG;dzSW;Lehrkraft für besondere Aufgaben: Interkulturelle Kommunikation und Angewandte Sprachwissenschaft
rom1600;01.09.2009;kaWI;beSTU;spFR spIT spPT spES spWR spÜG;dzLW dzSW dzMK dzSP dzDK;Förderung von Projektpartnerschaften Denkwerk: Schüler Lehrer und Geisteswissenschaftler vernetzen sich
rom1164;01.09.2010;kaTA;beTA;spFR spWR spÜG;dzLW dzSW dzMK dzWT;CfP: Society for French Studies 52e Congrès annuel Université de Londres Queen Mary
rom3581;01.09.2010;kaST;beWS;spES spÜG;dzLW dzWT;Wissenschaftliche(r) Angestellte(r) im Referat Forschung und Publikationen (Kennziffer: IAI 8-2010)
rom0825;01.09.2010;kaTA;beTA;spWR;dzMK dzWT;CfP: Ethics in Romanian Cinema
rom1829;01.09.2011;kaTA;beTP;spFR;dzLW dzMK;Internationales Kultur-Literatur-Kolloquium: Michel Butor und die Künste
rom1455;01.09.2011;kaST;beSTI;spFR spPT;dzLW dzSW dzMK;Doctoral programme: The Bayreuth International Graduate School of African Studies (BIGSAS)
rom1682;01.09.2011;kaST;bePR;spFR spIT spPT spES;dzLW dzSW dzMK dzDK;Gastdozenturen: Emeritierte und pensionierte Hochschullehrer/innen aller Fachrichtungen
rom0595;01.09.2011;kaWI;beAM;spFR;dzMK;Call for Papers: Deutsch-französische Musiktransfers
rom2009;01.09.2011;kaST;beNW;spES;dzSP;Lector/Lectora in Spanish (maternity cover)
rom3429;01.09.2011;kaST;bePR;spFR spIT spPT spES;dzSW;W3-Professur (Nachfolge Prof. Holtus): Romanische Sprachwissenschaft
rom2591;01.10.2008;kaWI;beMB;spÜG;dzLW dzMK;PhD-Net „Internationalisierung von Literatur und Wissenschaft seit der Frühen Neuzeit“
rom0478;01.10.2008;kaWI;beAM;spFR;dzLW dzSW dzMK;Aufruf zur Petitionsunterzeichnung: La Fondation Maison des Sciences de l’Homme : un avenir incertain ?
rom1325;01.10.2008;kaWI;beAM;spÜG;dzLW dzSW dzMK;Communicator-Preis 2009: 50.000 Euro für die beste Darstellung von Wissenschaft in der Öffentlichkeit
rom1363;01.10.2008;kaWI;beAM;spÜG;dzLW dzSW dzMK;DAAD übernimmt Förderung von Kongress- und Vortragsreisen ins Ausland
rom1982;01.10.2011;kaTA;beTA;spÜG;dzLW dzSW;Langage et analogie. Figement. Argumentation
rom0987;01.10.2011;kaTA;beTA;spFR spÜG;dzSW;CfP: Linguistique contrastive français-allemand (nouvelle date limite)
rom2403;01.10.2011;kaST;beWS;spFR;dzSW dzDK;Maître de conférences en linguistique française et didactique des langues
rom3295;01.10.2012;kaTA;beSV;spFR;dzLW dzMK;Vorlesungsreihe Junge französische Mediävisten zu Gast in Münster / La jeune génération des médiévistes français invitée à Münster
rom2853;01.10.2012;kaTA;beSV;spES;dzLW dzMK dzWT;Ringvorlesung: In (Ge)Schlechter Gesellschaft? Politische Konstruktionen von Männlichkeit in der Romania
rom1136;01.10.2012;kaTA;beTA;spES;dzSW;CfP Sektion: Lexikographie im Spannungsfeld zwischen Translation und Spracherwerb Hispanistentag 2013
rom2452;01.10.2013;kaTA;beTP;spES;dzLW dzMK;Memorias revividas. Del golpe a Malvinas en la literatura y el cine actual
rom0638;01.11.2011;kaWI;beAM;spFR spIT;dzLW;CfA: La dispute entre l’Arioste et le Tasse. Les appropriations de deux esthétiques antagonistes au XVIIe siècle en France 
rom2303;01.11.2012;kaST;beNW;spFR;dzSP;Lektoratsstelle Französisch
rom1072;01.11.2013;kaTA;beTA;spFR spÜG;dzLW dzWT;CfP: Représentation de l’histoire entre mise en scène et mise en question
rom3277;01.12.2009;kaWI;beBIB;spES;dzLW;Virtuelle Ausstellung Los libros de Cortázar
rom2387;01.12.2009;kaWI;beBIB;spPT spES;dzLW dzSW dzMK;Literatur und Internetquellen zum lusophonen und hispanophonen Afrika
rom2315;01.12.2009;kaST;beNW;spFR;dzSP;Lektor/in für Französisch
rom3423;01.12.2009;kaST;bePR;spFR;dzSW dzMK;W3-Professur für Übersetzungswissenschaft: Französisch
rom2692;01.12.2011;kaST;bePR;spIT;dzLW;Professor of Italian
rom1429;01.12.2011;kaTA;beSV;spÜG;dzLW dzMK dzWT;Die Ordnung des Wissens – der mittelalterliche Wissenskosmos 37. Internationaler Wolfenbütteler Sommerkurs
rom2993;01.12.2011;kaST;beSTI;spÜG;dzLW dzSW dzMK;Stipendien an 10 Postdoktoranden/innen: Stiftungsfonds Martin-Buber-Gesellschaft
rom0361;01.12.2011;kaWI;beFJR;spFR spIT spPT spES spWR;dzLW dzSW dzMK dzDK;Aktuelle Informationen zum XXVIII. Forum Junge Romanistik Spuren.Suche (in) der Romania
rom0030;01.12.2011;kaST;beSTI;spÜG;dzMK dzWT;10 Doktorandenstipendien Languages of Emotion
rom2078;01.12.2011;kaST;beNW;spFR;dzSP;Lecturer/Senior Lecturer in French Language (0.6 FTE)
rom3182;01.12.2011;kaST;bePR;spFR spIT spES;dzSW;Universitätsprofessor/in (W3) für Romanische Sprachwissenschaft
rom0031;01.12.2011;kaST;beSTI;spÜG;dzSW;10 Doktorandenstipendien: Languages of Emotion
rom3614;01.12.2011;kaST;beWS;spÜG;dzWT;Wissenschaftliche/r Mitarbeiter/in bologna.lab (50%)
rom1130;02.01.2011;kaTA;beTA;spFR spIT spPT spES spÜG;dzLW dzSW dzMK;CfP: Sektion Imagination: Funktionen des virtuellen Erlebens beim Internationalen Semiotik-Kongress 2011
rom2835;02.01.2012;kaST;beWS;spFR spES;dzLW dzMK;Research Associate French & Spanish Film Studies
rom0817;02.01.2012;kaTA;beTA;spIT;dzLW dzMK;CfP: Elsa Morante and the Italian Arts (The Davy Carozza International Conference)
rom0281;02.01.2012;kaST;beSTI;spFR spIT spPT spES spÜG;dzMK;8 Promotionsstipendien GK Interkonfessionalität in der Frühen Neuzeit
rom3157;02.01.2013;kaST;beWS;spÜG;dzDK;UniversitätsassistentIn - Dissertationsstelle
rom3169;02.01.2013;kaST;beWS;spÜG;dzDK;UniversitätsassistentIn - Postdoc
rom2714;02.01.2013;kaST;bePR;spFR spES;dzLW;Professur für Romanische Literatur- und Kulturwissenschaft
rom0077;02.01.2013;kaST;beWS;spFR spIT spPT spES;dzSW;12 Stellen für Doktoranden/Doktorandinnen im Graduiertenkolleg „Ambiguität: Produktion und Rezeption“
rom0983;02.01.2013;kaTA;beTA;spFR spIT spPT spES spWR spÜG;dzSW dzMK;CfP: LIMES IX 2013 Heidelberg
rom2143;02.02.2009;kaST;beWS;spIT;dzDK;Lehrkraft für besondere Aufgaben: Fachdidaktik Italienisch
rom1007;02.02.2009;kaTA;beTA;spIT spÜG;dzLW dzMK;CfP: Metamorphosing Dante
rom0586;02.02.2010;kaWI;beAM;spPT spES;dzLW dzSW dzMK dzSP dzDK;Bundesregierung fördert Lateinamerikaforschung mit 17 Millionen  
rom0419;02.02.2010;kaWI;beMB;spFR;dzMK;Artikelausschreibung: Postkolonial: deutsch-französische Perspektiven
rom1626;02.02.2011;kaWI;beAM;spFR spIT spES spÜG;dzLW;Forum for Modern Language Studies - Forum Essay Prize 2011: Literature and the Law
rom0813;02.02.2011;kaTA;beTA;spIT spÜG;dzMK;CfP: Dopo il moderno? Italia e Repubblica Federale Tedesca nella seconda metà del XX Secolo
rom3353;02.02.2012;kaST;bePR;spFR spES;dzDK;W2 Professur für Didaktik der romanischen Sprachen: Französisch und Spanisch
rom2082;02.02.2012;kaST;beWS;spES;dzLW;Lecturership: Spanish American Literature
rom2035;02.02.2012;kaST;beWS;spFR;dzLW dzMK dzSP;Lecturer in French - (two posts)
rom0371;02.02.2012;kaST;beSTI;spÜG;dzLW dzSW dzMK dzDK;Alfried Krupp Senior-Fellowship und Alfried Krupp Junior-Fellowships
rom1053;02.02.2012;kaTA;beTA;spES;dzMK;CfP: pop.Mex – Facetas de la cultura popular mexicana
rom2041;02.02.2012;kaST;beWS;spPT spES;dzMK dzSP;Lecturer in Hispanic Studies
rom1649;02.02.2012;kaST;beNW;spES;dzSP;Freiberufliche Lehrkräfte für Spanisch
rom3636;02.02.2012;kaST;beWS;spFR spES;dzSW;Wissenschaftliche(r) Mitarbeiter(in) im Bereich Romanische Sprachwissenschaft mit Schwerpunkt Französisch
rom0985;02.02.2014;kaTA;beTA;spÜG;dzSW;CfP: LIMES X 2014
rom1662;02.02.2014;kaTA;beTA;spFR;dzSW dzDK;Frist verlängert - CfP: Sektion 19 Linguistische Kompetenzen zukünftiger Französischlehrer: Perspektiven für die Hochschuldidaktik - Frankoromanistentag 2014
rom2514;02.03.2010;kaWI;beAM;spFR spIT spPT spES spWR spÜG;dzLW dzSW dzMK;Neue Sektion Renaissance der Online-Fachzeitschrift kunsttexte.de
rom2654;02.03.2010;kaST;beNW;spFR;dzMK dzSP dzDK dzWT;Praktikant/in für den französischen Alumni-Verein der Universität Heidelberg in Paris
rom3469;02.03.2011;kaST;beWS;spFR spIT;dzLW;Wiss. Mitarbeiter/-in (Franz. und ital. Literaturwissenschaft 50%)
rom2338;02.03.2011;kaST;beWS;spFR;dzSP;Lektorin/Lektor für Französisch (100%)
rom1666;02.03.2012;kaTA;beTA;spPT;dzDK;Fristverlängerung! Cfp: Jornadas Pedagógicas de Português de Estocolmo 2012:  Aprendizagem e Ensino de Português Língua Estrangeira e Português Língua Materna fora do espaço lusófono: convergências e divergências
rom1065;02.03.2012;kaTA;beSV;spÜG;dzLW dzMK;CfP: Raumwissen und Wissensräume. Interdisziplinärer Theorie- Workshop für Nachwuchswissenschaftler_innen
rom0918;02.03.2012;kaTA;beTP;spES;dzSP;CfP: IX Encuentro Práctico de Profesores de ELE en Alemania
rom3212;02.04.2009;kaST;bePR;spES spÜG;dzDK;Universitätsprofessur (W2) auf Zeit für die Didaktik der romanischen Sprachen mit dem Schwerpunkt Spanisch
rom2754;02.04.2009;kaST;bePR;spIT;dzLW;Professur (W3) für Italienische Philologie (Lehrstuhl) - Nachfolge Prof. Dr. Gerhard Regn
rom0784;02.04.2009;kaTA;beTA;spFR;dzLW dzSW dzMK;CfP: Der Vergleich Deutsch-französisches Nachwuchsseminar
rom2080;02.04.2009;kaST;beWS;spES;dzSP;Lecturer/Senior Lecturer Spanisch
rom0508;02.04.2010;kaTA;beSV;spFR;dzMK;Ausschreibung für Sommerakademie in Paris: History Takes Place - Urban Change in Europe
rom0611;02.04.2012;kaWI;beAM;spES spWR;dzLW;CfA: Anuari de Filologia. Literatures Contemporànies
rom1029;02.04.2012;kaTA;beTA;spÜG;dzSW;CfP: Nouvelles perspectives en sémantique lexicale et en organisation du discours
rom0277;02.04.2013;kaST;beWS;spÜG;dzLW dzSW dzMK dzWT;8 Postdoc-Stellen an der Graduiertenschule für Geisteswissenschaften Göttingen (GSGG)
rom1249;02.05.2008;kaTA;beTA;spFR spIT spPT spES spWR spÜG;dzLW dzSW dzMK dzSP dzDK;CfP: Wege zur Bidirektionalität in den Kognitionswissenschaften
rom1962;02.05.2010;kaTA;beTP;spFR spWR;dzLW dzSW dzMK dzSP;La Francophonie en Europe de sud-est
rom0402;02.05.2011;kaTA;beTP;spFR spÜG;dzLW dzMK;Arbeitstagung Weltnetzwerke – Weltspiele
rom3274;02.05.2011;kaTA;beTP;spES;dzLW dzSW dzMK dzSP dzDK;VIII Encuentro práctico de profesores de español en Alemania
rom2400;02.05.2011;kaTA;beSV;spIT;dzMK;Magic Cinema! Zweite italienische Stummfilmtage
rom3133;02.05.2011;kaWI;beSTU;spFR;dzMK dzWT;Trinationaler Master-Studiengang „Deutsch-Französische Studien: Grenzüberschreitende Kommunikation und Kooperation“
rom2388;02.05.2012;kaTA;beTP;spFR spIT spÜG;dzLW;Literatur und Spiel / Littérature et jeu (Jahreskolloquium SGAVL)
rom0074;02.05.2012;kaST;beSTI;spES spÜG;dzLW dzMK dzWT;12 Promotionsstipendien Internationales Graduiertenkolleg Zwischen Räumen. Bewegungen Akteure und Repräsentationen der Globalisierung
rom1928;02.05.2012;kaTA;beTP;spFR spIT spES spÜG;dzLW dzMK dzWT;Kata/strophe. Ereignis Figur und Wissensstruktur
rom1405;02.05.2012;kaWI;beAM;spFR spIT spWR;dzLW dzSW;DFG-Projekt zur Digitalisierung romanistischer Primärquellen abgeschlossen
rom0100;02.05.2012;kaTA;beTA;spES;dzLW dzSW dzMK dzDK dzWT;19. Deutscher Hispanistentag Münster 2013: Hispanistische Brückenschläge − La Hispanística tendiendo puentes
rom3289;02.05.2012;kaTA;beTA;spFR;dzMK dzWT;Vom Vergleich zur Verflechtung: Deutschland und Frankreich im 20. Jahrhundert
rom0436;02.05.2012;kaST;beWS;spIT;dzSW;Assistente dottorando/a in Linguistica italiana (100%)
rom2900;02.05.2013;kaTA;beSV;spES;dzLW;Semana de Literatura Guineoacuatoriana
rom1771;02.05.2013;kaTA;beTP;spES;dzLW dzMK;III. Jornada Iberoamericana: Argentina a 30 años de la recuperación de la democracia: repercusiones y memorias
rom3015;02.05.2013;kaTA;beTP;spIT;dzLW dzMK;Streit und Spiel. Venezianische Konfliktkulturen von der frühen Neuzeit bis heute / Conflitti culturali a Venezia dall'età moderna a oggi
rom1473;02.06.2009;kaST;beWS;spÜG;dzLW;Doktorandenstellen (50%) und -plätze im Promotionsstudiengang „Literaturwissenschaft“ LMU München
rom3035;02.06.2009;kaTA;beSV;spÜG;dzLW;Summer School New Forms of Fiction. Exploring Blendings and Transgressions of Fiction and Reality 
rom2186;02.06.2009;kaST;beWS;spES;dzLW dzMK;Lehrkraft für besondere Aufgaben: Hispanistische Literaturwissenschaft (50%)
rom2519;02.06.2009;kaWI;beSTU;spFR spPT spES spWR spÜG;dzSW;Neuer int. Studiengang: European Master in Lexicography
rom1447;02.06.2009;kaST;beWS;spIT spWR;dzSW;DissertantInnenstelle (romanistische Sprachwissenschaft Schwerpunkt Italienisch)
rom0530;02.06.2010;kaWI;beMB;spÜG;dzLW dzSW dzMK;Bayerische Akademie der Wissenschaften – Förderkolleg für Nachwuchswissenschaftler  
rom2665;02.06.2010;kaWI;beAM;spÜG;dzLW dzSW dzMK dzSP dzDK;Preis des Deutschen Hochschulverbandes: Hochschullehrer/in des Jahres - academics: Nachwuchswissenschaftler/-in des Jahres
rom0943;02.06.2010;kaTA;beTP;spÜG;dzLW dzSW dzMK dzWT;CfP: Laboratorium Mensch. Aufklärung - Anthropologie - Ästhetik
rom0712;02.06.2010;kaTA;beTA;spÜG;dzSW dzSP dzDK;CfP: Autonomie und Assessment
rom0525;02.06.2012;kaTA;beTP;spÜG;dzLW dzMK;Avantgarde oder Modernismus: was bleibt vom Avantgarde-Projekt?
