id;datum;kategorie;bereich;sprachen;disziplinen;titel
rom1148;01.02.2008;kaTA;beTA;spFR;dzSW;CFP Sektion Syntax der Mündlichkeit in den französischen Varietäten außerhalb Frankreichs (Frankoromanistentag)
rom2249;01.02.2009;kaST;beNW;spES;dzSP;Lehrkraft für besondere Aufgaben / Sprachpraxis Spanisch
rom0502;01.02.2010;kaWI;beSTU;spFR spIT spPT spES spWR spÜG;dzLW dzSW dzMK;Ausschreibung Doktoratsprogramm Romanistik Zürich HS 2010
rom1403;01.02.2011;kaWI;beAM;spÜG;dzLW dzSW dzMK;DFG-Fachkollegienwahl 2011
rom2707;01.02.2012;kaST;bePR;spFR spIT spPT spES spÜG;dzDK;Professur für Fremdsprachendidaktik
rom2408;01.02.2012;kaST;beWS;spÜG;dzLW dzMK;Marie Curie Fellowship / Early Stage Researcher Transdisciplinary Diaspora Studies / Diasporas and the Literature of Globalisation
rom0978;01.02.2012;kaTA;beTA;spFR spÜG;dzLW dzMK dzWT;CfP: Lex-ICON : traiter l’image comme un texte/ traiter le texte comme une image
rom3616;01.02.2012;kaST;beWS;spIT;dzLW dzSW;Wissenschaftliche/r Mitarbeiter/in Deonomasticon Italicum
rom1839;01.02.2012;kaTA;beTP;spIT;dzLW dzSW dzDK;Italianistentag 2012 (Hamburg): L'Italia unita e le unità d'Italia
rom3231;01.02.2012;kaTA;beSV;spES;dzMK;Veranstaltungen des Instituto Cervantes Hamburg zur spanischen Migration in Mexiko
rom0341;01.02.2012;kaST;beWS;spES;dzSP;Akademische/r Mitarbeiter/in in der Lehre Spanisch (halbtags)
rom2443;01.02.2013;kaTA;beTP;spFR spIT;dzLW dzMK;Mazzini e la letteratura europea
rom0916;01.02.2013;kaTA;beTA;spIT;dzLW dzMK;CfP: „Italianistik im kulturwissenschaftlichen Kontext“. Vierter Graduiertenworkshop 
rom3577;01.02.2013;kaST;beWS;spPT;dzLW dzMK;Wissenschaftliche/n Mitarbeiter/in für brasilianische Literatur- und Kulturwissenschaft (50%)
rom2343;01.02.2013;kaST;beWS;spPT;dzMK dzSP;Lektorin/Lektor für Portugiesisch mit Schwerpunkt Brasilien (100%)
rom0843;01.02.2014;kaTA;beTA;spFR;dzSW dzSP;CfP / Fristverlängerung: Les langues dans l’espace public francophone (Sektion 7 des 9. Frankoromanistenkongresses)
rom3714;01.03.2008;kaWI;beAM;spFR spIT spPT spES spWR;dzSW dzDK;Zeitschrift für Romanische Sprachen und ihre Didaktik (21) soeben erschienen
rom0738;01.03.2009;kaTA;beTA;spFR;dzSW;CfP: Colloque Relations spatiales relations temporelles locutions spatio-temporelles
rom0938;01.03.2011;kaTA;beTA;spFR spÜG;dzLW dzSW dzMK dzWT;CfP: La description 2e colloque de l’Institut InDisciplinAire
rom2146;01.03.2012;kaST;beWS;spÜG;dzLW;Lehrkraft für besondere Aufgaben: fachübergreifender Aufgabenbereich Literaturwissenschaft
rom3440;01.03.2012;kaST;bePR;spES spFR;dzLW dzMK;W3-Universitätsprofessor(in): Spanische und Französische Literaturwissenschaft
rom2880;01.03.2012;kaST;beWS;spPT;dzLW dzMK;Santander Post-Doctoral Senior Studentship Portuguese Literary and Cultural Studies
rom1917;01.03.2012;kaST;bePR;spÜG;dzMK;Juniorprofessur (W1) für Theorien und Methoden der Kulturwissenschaften
rom1632;01.03.2012;kaWI;beAM;spIT;dzMK dzWT;Forum Kunstgeschichte Italiens - Dritte Arbeitstagung 2012
rom3438;01.03.2012;kaST;bePR;spFR spES;dzSW;W3-Professur: spanische und französische Sprachwissenschaft
rom1834;01.03.2013;kaWI;beAM;spES;dzLW;Iowa Literaria: nueva revista web
rom1750;01.03.2013;kaST;beWS;spFR spES;dzSW;Hochschuldozentur Romanische Sprachwissenschaft
rom0102;01.03.2013;kaTA;beTA;spÜG;dzWT;19. LIPP-Symposium Gefährdete Sprachen
rom3703;01.03.2013;kaTA;beTA;spÜG;dzWT;XI. Mediendidaktisches Kolloquium Web 2.0 und komplexe Kompetenzaufgaben im Fremdsprachenunterricht
rom3554;01.04.2008;kaST;beWS;spPT spES;dzLW;Wiss. Mitarbeiterstelle Iberoromanistik/Lusitanistik Literaturwissenschaft
rom1500;01.04.2008;kaTA;beTA;spES spÜG;dzLW dzMK;E Pluribus Unum? — Ethnic Identities in Processes of Transnational Integration in the Americas / Identidades étnicas en procesos transnacionales de integración en las Américas
rom0672;01.04.2009;kaTA;beTA;spFR spIT spES spÜG;dzLW dzMK;CfP: 21st-Century European Literature: Mapping New Trends
rom3726;01.04.2009;kaWI;beAM;spPT;dzLW dzSW dzMK;Zs.: Grenzgänge Heft 28 2009: Portugal: Sprache und Kultur im Wandel
