id;datum;kategorie;bereich;sprachen;disziplinen;titel
rom2791;2013-08-14;kaST;beSTI;spFR spIT spPT spES spÜG;dzLW dzMK;Promotionsstipendium Graduiertenkollegs „Das Reale in der Kultur der Moderne“
rom2782;2013-08-14;kaST;beWS;spFR spÜG;dzLW dzMK;Promotionsstelle im  Projekt Aufstieg der Referenzialität: Literarische Autorschaft und publizistische Öffentlichkeit (Strategien der Ein- und Ausgrenzung)
rom3181;2013-08-14;kaST;bePR;spÜG;dzSW;Universitätsprofessor/in (W 2): Translationsrelevante Sprachwissenschaft/Translationstechnologien
rom2783;2013-08-17;kaST;beWS;spFR spWR;dzLW dzMK;Promotionsstelle im Projekt Aufstieg der Referenzialität: Literarische Autorschaft und publizistische Öffentlichkeit (Autobiographie Auto(r)fiktionalität Autorschaft)
rom0882;2013-08-19;kaTA;beTA;spPT;dzLW dzSW dzMK dzSP dzDK dzWT;CfP: II Jornadas Pedagógicas de Português Gotemburgo 30 de outubro a 2 de novembro 2013: As variedades do Português no ensino de Português Língua Materna e Estrangeira
rom1656;2013-08-20;kaST;beNW;spES;dzWT;Fremdsprachensekretärin/Fremdsprachensekretär mit 75%-Teilzeitbeschäftigung befristet bis März 2014 (Ende des Projekts Verlängerung wird angestrebt)
rom1159;2013-08-21;kaTA;beTA;spES;dzLW dzMK;CfP: Simposio: Construcción de infancias en el siglo XX. Convergencias y divergencias culturales y nacionales
rom0522;2013-08-28;kaWI;beSTU;spES;dzLW dzSW dzMK dzWT;Ausstellung über Luis Vidal
rom2898;2013-08-29;kaTA;beTP;spÜG;dzLW dzMK;Selbst-Bilder. Zeit-Bilder. Autopotrait und Zeit in Literatur und Bildender Kunst
rom0642;2013-08-29;kaWI;beAM;spFR spES spÜG;dzMK dzWT;CfA: Manual of Romance Languages in the Media
rom2156;2013-08-29;kaST;beWS;spFR spES;dzSW;Lehrkraft fuer besondere Aufgaben (Französisch Spanisch)
rom3542;2013-08-30;kaST;beWS;spFR spIT;dzSW;Wiss. Mitarbeiterin/Mitarbeiter
rom0852;2013-09-02;kaTA;beTA;spÜG;dzLW dzMK;CfP: Gefühle als Bedeutungsträger II.  Aktuelle Projekte zur Emotionsforschung - Interdisziplinärer Studientag für Nachwuchswissenschaftler/-innen
rom2733;2013-09-02;kaST;bePR;spPT;dzMK dzSP;Professur Romanistik mit Schwerpunkt Brasilianistik Lusitanistik Leitung des Sprachenzentrums
rom0700;2013-09-05;kaTA;beTA;spES;dzLW;CfP: AHGBI Conference panel: Nicanor Parra
rom3005;2013-09-05;kaST;beSTI;spFR spIT spPT spES spÜG;dzLW dzSW dzMK dzDK;Stipendienprogramm 2013 für Postdoktoranden und Juniorprofessoren (Daimler und Benz Stiftung)
