id;datum;klasse;kategorie;sprachen;gebiete;titel
rom2404;05.04.2012;Weitere Informationen;Allgemeine Mitteilung;Französisch;Weitere Teilbereiche;Manifeste Pour des universités à la hauteur de leurs missions
rom1874;19.06.2012;Tagungen;Tagungsausschreibung;Französisch;Medien-/Kulturwissenschaft;Journée d'études und Filmfestival Le Québec en fête
rom1698;28.09.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Weitere Teilbereiche;Geschäftsführer/in Frankreich-Zentrum
rom2899;28.01.2013;Tagungen;Sonstige Veranstaltung;Französisch;Weitere Teilbereiche;Semaine de la langue française et de la francophone
rom2824;23.04.2009;Stellen;Nichtwissenschaftliche Stelle;Französisch;Weitere Teilbereiche;Referent/in (Deutsch-Französische Hochschule) im Bereich der Doktoranden- und Forschungsförderung
rom3284;17.12.2011;Weitere Informationen;Allgemeine Mitteilung;Französisch;Weitere Teilbereiche;Vizepräsidentin für Europa der Saar-Uni erhält französischen Orden
rom3024;15.12.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Weitere Teilbereiche;Studienkoordinator/-in
rom0584;08.01.2011;Weitere Informationen;Allgemeine Mitteilung;Französisch;Weitere Teilbereiche;Budget der Deutsch-Französischen Hochschule (DFH) 2011: 1 Million Euro zusätzlich
rom0339;20.12.2013;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Akademische/r Mitarbeiter/in in der Lehre (50%): Französische Sprachpraxis
rom2128;07.08.2013;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben
rom2303;01.11.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lektoratsstelle Französisch
rom1292;31.05.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Weitere Teilbereiche; Chargé(e) de projet « Information et réseaux» (H/F) Office franco-allemand pour la Jeunesse (OFAJ)
rom2975;28.05.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Weitere Teilbereiche;Stelle als Junge(r) Botschafter(in) 
rom3533;09.01.2014;Stellen;Nichtwissenschaftliche Stelle;Französisch;Weitere Teilbereiche;Wiss. Mitarbeiter/in Tourismuswirtschaft Deutsch-Französisch
rom1107;12.02.2014;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft Weitere Teilbereiche;CfP Sektion 4: Die 'langues de l'immigration' in der Diskussion: Sprachpolitik und Varietätenlinguistik (Frankoromanistentag 2014)
rom1116;04.12.2013;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft Weitere Teilbereiche;CfP: Sektion Das Französische im wirtschaftlichen Kontext Frankoromanistentag 2014
rom2674;30.09.2010;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Sprachpraxis;Principal Lecturer/ Senior Lecturer/Lecturer in French
rom3500;20.11.2009;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Sprachpraxis;Wiss. Mitarbeiter/in insbes. Testentwicklung und -auswertung im Fach Französisch (50%)
rom1591;18.08.2011;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Sprachpraxis;Fixed-Term Lecturer in French
rom2572;14.07.2011;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Sprachpraxis;Part-time Evening Class Lecturers in French
rom2072;10.05.2012;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Sprachpraxis;Lecturer / Senior Lecturer in French
rom0843;01.02.2014;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft Sprachpraxis;CfP / Fristverlängerung: Les langues dans l’espace public francophone (Sektion 7 des 9. Frankoromanistenkongresses)
rom2518;22.03.2010;Weitere Informationen;Studium;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft Sprachpraxis;Neuer deutsch-französischer Masterstudiengang „Juristisches Übersetzen und Dolmetschen in Magdeburg und Lorient (ab Okt. 2010)
rom2092;21.04.2009;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft Sprachpraxis;Lectureship in the Cultures Histories and/or Linguistics of the Francophone World
rom1618;06.09.2012;Stellen;Stipendium;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft Didaktik;Forschungsstipendien für promovierte deutsche Geistes- und Sozialwissenschaftler nach Frankreich
rom2356;20.09.2011;Tagungen;Tagungsprogramm;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft;Les politiques linguistiques explicites et implicites en domaine francophone / Sprachenpolitik und Laienlinguistik in der Frankophonie
rom2036;20.04.2011;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft;Lecturer in French with Translation Studies
rom2402;20.04.2009;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft;Maître de conferences en francophonie
rom1098;15.11.2011;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft;CfP: Sektion 13:  'Medientextsorten und neue Kommunikationsformen des Französischen. Kontrastive und translationswissenschaftliche Perspektiven' Frankoromanistentag 2012
rom3350;12.03.2009;Stellen;Professur;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft;W2-Professur: Französische Sprach- und Kulturwissenschaft
rom2545;06.03.2012;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft;Noch 2 Plätze frei / Encore deux places à disposition: CfP Sektion 10: Sprache und Identität im digitalen Raum - Langue et identité dans l’espace digital
rom1664;06.01.2012;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft;Fristverlängerung bis 31.01.2012: CfP: Sektion 13: 'Medientextsorten und neue Kommunikationsformen des Französischen. Kontrastive und translationswissenschaftliche Perspektiven' Frankoromanistentag 2012
rom1989;05.02.2014;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft;Langue et droit
rom1993;04.02.2014;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft;L'approche formulaire des discours spécialisés
rom3423;01.12.2009;Stellen;Professur;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft;W3-Professur für Übersetzungswissenschaft: Französisch
rom0357;29.11.2007;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Didaktik;Akademische/r Rat/Rätin Französisch PH
rom2679;24.02.2012;Stellen;Professur;Französisch;Sprachwissenschaft Didaktik;Professeur des universités en didactique du FLE/ didactique des langues
rom3403;18.02.2011;Stellen;Professur;Französisch;Sprachwissenschaft Didaktik;W3-Professur für französische Sprache und Sprachdidaktik
rom2144;12.03.2008;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Didaktik;Lehrkraft für besondere Aufgaben Fachlehrer/in für Französische Sprachwissenschaft
rom3404;11.11.2010;Stellen;Professur;Französisch;Sprachwissenschaft Didaktik;W3-Professur für französische Sprache und Sprachdidaktik
rom1103;09.12.2013;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft Didaktik;CfP: Sektion 19 Linguistische Kompetenzen zukünftiger Französischlehrer: Perspektiven für die Hochschuldidaktik - Frankoromanistentag 2014
rom3558;09.07.2013;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Didaktik;Wiss. Mitarbeiterstelle (romanistische Sprachwissenschaft und Fachdidaktik Französisch)
rom1662;02.02.2014;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft Didaktik;Frist verlängert - CfP: Sektion 19 Linguistische Kompetenzen zukünftiger Französischlehrer: Perspektiven für die Hochschuldidaktik - Frankoromanistentag 2014
rom2403;01.10.2011;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Didaktik;Maître de conférences en linguistique française et didactique des langues
rom0212;29.04.2013;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;3es Journées d'Etudes Repenser l'histoire du francais
rom2640;28.04.2011;Stellen;Stipendium;Französisch;Sprachwissenschaft;Postdoctoral Research Fellow in French Applied Linguistics
rom1450;26.12.2012;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft;Dissertationsstelle Frz. Linguistik (Ersatz 50%) - Univ. Innsbruck
rom3070;25.08.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachwissenschaft;Teaching Associate in French
rom2473;25.05.2008;Weitere Informationen;Allgemeine Mitteilung;Französisch;Sprachwissenschaft;Nachruf auf den Linguisten Peter Scherfer
rom2650;25.04.2012;Stellen;Professur;Französisch;Sprachwissenschaft;Poste de professeur(e) invité(e) en linguistique
rom3574;25.01.2013;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft;Wissenschaftliche/-r Mitarbeiter/-in: Angewandte Sprachwissenschaft
rom1687;24.10.2013;Tagungen;Sonstige Veranstaltung;Französisch;Sprachwissenschaft;Gedenksymposium für Hartmut Kleineidam
rom0971;23.11.2013;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;CfP: Les langues dans l’espace public francophone (Sektion 7 des 9. Frankoromanistenkongresses)
rom0754;23.05.2011;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;CfP: Congrès Mondial de Linguistique Française 2012
rom1190;22.06.2011;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;CfP: Temps Aspect Mode en système et en discours
rom3571;22.03.2012;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft;Wissenschaftliche/-r Mitarbeiter/-in Französische Sprachwissenschaft
rom1095;21.11.2011;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;CfP: Sektion 12 Laienlinguistik im frankophonen Internet Frankoromanistentag 2012
rom1939;21.03.2008;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;Kolloquium zur romanischen Namenkunde
rom0711;20.12.2011;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;CfP: Association for French Language Studies Conference 2012
rom2024;20.04.2011;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft;Lecturer in French Linguistics
rom0511;19.10.2011;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;Ausschreibung linguistischer Sektionen zum 8. Kongress des Frankoromanistenverbandes
rom1960;19.07.2012;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;La comparaison et la métaphore comme figures analogiques
rom3156;19.07.2012;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft;UniversitätsassistentIn 50% Prä-Doc für französische Sprachwissenschaft
rom3741;19.05.2008;Weitere Informationen;Allgemeine Mitteilung;Französisch;Sprachwissenschaft;Zs.: Nouvelle revue d'onomastique N° 49-50 (2008): Onomastique galloromane Noms d'ailleurs
rom3032;18.04.2013;Weitere Informationen;Allgemeine Mitteilung;Französisch;Sprachwissenschaft;Sujet de thèse prioritaire ATILF
rom3215;18.01.2013;Stellen;Professur;Französisch;Sprachwissenschaft;University Lecturer in Medieval French in association with a tutorial fellowship at St Peter's College
rom3676;17.12.2013;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft;Wiss.Mitarbeiter/in (französische Sprachwissenschaft)
rom3765;16.09.2013;Weitere Informationen;Allgemeine Mitteilung;Französisch;Sprachwissenschaft;Zum Tod von Jean Véronis (1955-2013)
rom2678;16.03.2009;Stellen;Professur;Französisch;Sprachwissenschaft;Professeur de syntaxe à Strasbourg
rom0399;14.06.2013;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;Approches théoriques et empiriques en phraséologie
rom0940;14.02.2011;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;CfP: La perception des accents du français hors de France
rom0980;12.05.2013;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;CfP: L’HISTOIRE DU FRANÇAIS : NOUVELLES APPROCHES NOUVEAUX TERRAINS  NOUVEAUX TRAITEMENTS
rom0981;11.01.2013;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;CfP: L’histoire du français : nouvelles approches nouveaux terrains nouveaux traitements
rom0106;10.10.2012;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft;2 Doktorandenstellen (Französisch)
rom2629;09.11.2012;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft;PostDoc (m/w)
rom1093;08.12.2011;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;CfP Sektion 10: Sprache und Identität im digitalen Raum - Langue et identité dans l’espace digital Frankoromanistentag 2012
rom2032;08.11.2012;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft;Lecturer in French Studies
rom2961;08.06.2009;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;Sprachwissenschaftliche Sektionen auf dem Frankoromanistentag 2010
rom2911;08.03.2012;Stellen;Professur;Französisch;Sprachwissenschaft;Senior lecturer in sociolinguistics
rom0458;06.09.2011;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;Association for French Language Studies Conference 2012
rom1303;06.01.2008;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;Colloque du Collège doctoral franco-allemand Locutions: les langues entre cultures et cognition
rom3572;04.04.2012;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft;Wissenschaftliche/-n Mitarbeiter/-in (halbtags): französischen Sprachwissenschaft
rom1315;02.12.2010;Tagungen;Tagungsprogramm;Französisch;Sprachwissenschaft;Colloque: Nouvelles approches de l’histoire de la langue française
rom0755;01.07.2013;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;CfP: Congrès Mondial de Linguistique Française 2014
rom0211;01.06.2008;Tagungen;Tagungsprogramm;Französisch;Sprachwissenschaft;3es Journées allemandes des dictionnaires
rom0738;01.03.2009;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;CfP: Colloque Relations spatiales relations temporelles locutions spatio-temporelles
rom1148;01.02.2008;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;CFP Sektion Syntax der Mündlichkeit in den französischen Varietäten außerhalb Frankreichs (Frankoromanistentag)
rom2115;24.05.2011;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis Weitere Teilbereiche;Lehrkraft f. besondere Aufgaben/Sprachpraxis Französisch 100% (Lektor/-in)
rom0349;16.07.2011;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis Weitere Teilbereiche;Akademische/r Mitarbeiterin/Mitarbeiter 50% (Fachübersetzung Französisch)
rom2337;15.07.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis Weitere Teilbereiche;Lektorin/Lektor für Französisch (100%)
rom2306;06.07.2011;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis Weitere Teilbereiche;Lektorenstelle für Französisch (50 %)
rom2205;27.11.2012;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis Didaktik;Lehrkraft für besondere Aufgaben (LektorIn Französisch 100%)
rom2106;09.10.2012;Tagungen;Sonstige Veranstaltung;Französisch;Sprachpraxis Didaktik;Lehrerfortbildung Interactions orales en classe de FLE
rom2107;06.10.2013;Tagungen;Sonstige Veranstaltung;Französisch;Sprachpraxis Didaktik;Lehrerfortbildung Transmettre la grammaire française de manière simple et vivante
rom1652;03.09.2009;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis Didaktik;Freie/r muttersprachl. Korrektor(in): Unterrichtsmaterialien Französisch [Erledigt 12.9.]
rom1984;30.10.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Language Tutor in French
rom1985;30.06.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Language Tutor in French
rom2287;30.05.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lekorin/Lektor für Französisch
rom2288;30.04.2009;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lektor / Lektorin für Französisch (80%) [korrigierte Fassung]
rom2331;29.11.2013;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lektorin / Lektor für Französisch
rom2333;29.11.2013;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lektorin / Lektor für Französisch (Rechtsfranzösisch)
rom2906;29.11.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Senior Lecturer Französisch (50%)
rom2013;29.08.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lecturer French Studies
rom2019;29.07.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lecturer in French
rom2341;28.12.2007;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lektorin/Lektor für Französisch unbefristet (13 TV-L Göttingen)  
rom2960;28.09.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Sprachpraxis Französisch
rom2328;28.07.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lektor/in für Wirtschaftsfranzösisch
rom2954;27.04.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Sprachassistentenstelle 2011-2012 am Lycée militaire von Saint-Cyr
rom2302;26.10.2010;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lektoratsstelle Französisch (50 %)
rom2178;26.02.2013;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben für die Sprachpraxis Französisch (unbefristet)
rom2348;26.02.2008;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lektor/Lektorin für französische Sprache und Landeskunde
rom2245;26.01.2012;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben / Sprachpraxis Französisch
rom2259;25.10.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben: Wirtschaftsfranzösisch
rom2316;25.08.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lektor/in für Französisch (50 %)  
rom2102;25.03.2013;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrbeauftragte für Französisch
rom2214;25.02.2011;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben (Mutterschutzvertretung) 100% - Sprachpraxis
rom2129;25.02.2011;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben 50% - Sprachpraxis
rom2301;24.10.2012;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lektoratsstelle Französisch 50%
rom3458;24.09.2010;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Wisenschaftlicher Mitarbeiter / Wissenschaftliche Mitarbeiterin
rom2309;24.06.2009;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lektorenstelle für Sprachpraxis Französisch (50%)
rom2246;24.05.2013;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben Sprachpraxis Französisch
rom2347;24.04.2013;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lektor/Lektorin für Französisch
rom2248;23.07.2009;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben (Sprachpraxis Französisch)
rom2139;22.11.2007;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben Engl/Franz FH 
rom2015;22.06.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lecturer in French
rom2155;22.06.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben Französisch (EG 13 TV-H 50%)
rom3072;21.07.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Teaching Fellow in French
rom3075;21.07.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Teaching Fellow in French Language
rom2313;21.06.2012;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lektor/in Französisch
rom2247;21.01.2014;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben Sprachpraxis Französisch
rom2165;20.12.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben Französische Sprachlehre und Übersetzung (50%)
rom2183;20.12.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben für Translation und Kultur (Deutsch-Französisch) (50%)
rom1731;20.01.2010;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Halbe Stelle eines/einer wissenschaftlichen Angestellten (Fremdsprachenausbildung Französisch)
rom2346;19.12.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lektor/Lektorin für Französisch
rom2208;19.12.2008;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben (Lektor/Lektorin) im Bereich französische Sprachpraxis
rom2037;19.05.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lecturer in French
rom2319;19.02.2008;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lektor/in für Französisch mit geisteswissenschaftlichem Hochschulabschluss Teilzeitstelle (50%)
rom2320;19.02.2008;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lektor/in für Französisch mit Hochschulabschluss in Rechtswissenschaften Teilzeitstelle (50%)
rom2260;16.08.2012;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben Wirtschaftsfranzösisch (75%)
rom0350;16.07.2011;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Akademische/r Mitarbeiterin/Mitarbeiter 50% (Übersetzungswissenschaft Französisch)
rom2314;16.06.2009;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben für Französisch (BAT IIa)
rom2304;15.11.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lektoratsstelle für Französisch (100 %)
rom2339;15.07.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lektorin/Lektor für Französisch (50%)
rom2169;15.03.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben Französisch/Englisch (Wirtschaftsfremdsprachen)
rom2308;14.12.2009;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lektorenstelle für Französisch (50%)
rom2983;14.06.2013;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Stelle einer Lehrkraft für besondere Aufgaben 50% (E13) Französisch
rom2318;14.05.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lektor/in für Französisch
rom2307;14.03.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lektorenstelle für Französisch (50 %)
rom2150;14.01.2013;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben Französisch
rom2028;12.04.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lecturer in French Studies
rom3069;12.04.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Teaching Associate in French - Fixed term
rom2273;11.07.2013;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Leiter (w/m) der Stabsstelle Gremienarbeit und Übersetzung (Deutsch-Französische Hochschule)
rom2261;10.11.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben: Wirtschaftsfranzösisch mit Wirtschaftsenglisch als Ergänzung
rom3098;10.11.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Temporary University Teacher in French Language
rom2008;10.05.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lector in French
rom2215;10.01.2014;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben oder Lektorin / Lektor für Französisch
rom2148;09.07.2012;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben Französisch
rom1659;09.06.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;French Language Tutor
rom1983;09.06.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Language Assistant French
rom2133;09.06.2011;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben 50% (Sprachpraxis Französisch)
rom2023;08.11.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lecturer in French Language
rom2298;08.07.2013;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lektorat Wirtschaftsfranzösisch
rom2991;07.10.2010;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Stipendiary Lecturer in French
rom2647;07.02.2013;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Poste de lecteur/lectrice de français langue étrangère
rom1488;07.01.2010;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;[Bewerbung abgeschlossen!] Dozent/in für Französisch am Sprachenzentrum UZH/ETHZ Zürich
rom1730;06.12.2007;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Halbe Lektorenstelle für Französisch
rom2007;06.09.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lector in French
rom2258;06.09.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben: Wirtschaftsfranzösisch
rom2262;06.06.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben: Wirtschaftsfranzösisch
rom2151;05.08.2010;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben Französisch (50%)
rom2575;05.07.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Part-time Lecturer in French
rom1489;05.06.2013;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Dozent/in für Französisch
rom0455;04.08.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Associate Teaching Fellow in French
rom0456;04.08.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Associate Teaching Fellow in Spanish
rom2016;04.08.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lecturer in French
rom2034;04.08.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lecturer in French Studies
rom2166;04.05.2009;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben Französische Sprachpraxis
rom2159;03.07.2012;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben französische Fremdsprachenausbildung
rom2317;03.05.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lektor/in für Französisch
rom2340;03.03.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lektorin/Lektor für Französisch Sprachpraxis (50%)
rom2334;02.07.2013;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lektorin / Lektor für Französisch
rom2332;02.07.2013;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lektorin / Lektor für Französisch (Recht und Wirtschaft)
